,學校,系組,chinese_list,math_list,science_list,social_list,art_list,tech_list,all_list,health_list,total_list,paper_report_list,doing_work_list,science_work_list,social_work_list,a,b,c,d,e,f,g,h,x,y,z
0,國立中興大學,土壤環境科學系,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,慈濟大學,分子生物暨人類遺傳學系,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,國立嘉義大學,水生生物科學系,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
3,國立臺灣大學,生化科技學系,True,True,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4,國立嘉義大學,生化科技學系,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5,國立臺灣大學,生命科學系,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
6,國立臺灣師範大學,生命科學系,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,國立中興大學,生命科學系,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8,國立成功大學,生命科學系,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9,國立清華大學,生命科學系,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
10,中國文化大學,生命科學系,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
11,輔仁大學,生命科學系,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,國立東華大學,生命科學系,True,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
13,國立臺東大學,生命科學系,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14,國立高雄大學,生命科學系,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
15,慈濟大學,生命科學系,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,東海大學,生命科學系生物醫學組,True,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
17,東海大學,生命科學系生態暨生物多樣性組,True,False,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
18,國立陽明交通大學,生命科學系暨基因體科學研究所,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
19,高雄醫學大學,生命科學院學士班,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20,國立清華大學,生命科學院學士班,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
21,國立臺灣海洋大學,生命科學暨生物科技學系,True,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
22,高雄醫學大學,生物科技學系,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
23,中原大學,生物科技學系,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
24,中國醫藥大學,生物科技學系,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
25,國立陽明交通大學,生物科技學系,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
26,國立臺南大學,生物科技學系,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
27,長榮大學,生物科技學系生物檢測組,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,長榮大學,生物科技學系生物醫學組,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,銘傳大學,生物科技學系生物醫學組（桃園校區）,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
30,義守大學,生物科技學系生物醫藥組,False,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
31,長榮大學,生物科技學系生醫產業組,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,義守大學,生物科技學系食品生技組,False,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
33,銘傳大學,生物科技學系食品生技組（桃園校區）,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
34,國立中山大學,生物科學系,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
35,亞洲大學,生物資訊與醫學工程學系生醫資訊組,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
36,亞洲大學,生物資訊與醫學工程學系醫學工程組,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
37,國立嘉義大學,生物資源學系,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
38,國立嘉義大學,生物農業科技學系,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,國立彰化師範大學,生物學系,False,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
40,中原大學,生物醫學工程學系,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
41,國立陽明交通大學,生物醫學工程學系,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
42,義守大學,生物醫學工程學系,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
43,銘傳大學,生物醫學工程學系專利醫材組（桃園校區）,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
44,銘傳大學,生物醫學工程學系智慧醫療組（桃園校區）,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
