college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立清華大學,原子科學院學士班,國文,均標,3.0,英文,前標,3.0,數學A,前標,3.0,自然,前標,3.0,,,,*1.00,*1.00,*1.25,*1.25,,50%,審查資料,--,50%,面試,--,10%,,,,,,,,,,一、審查資料二、面試三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立嘉義大學,土木與水資源工程學系,英文,--,10.0,數學A,--,5.0,自然,均標,3.0,,,,,,,*1.00,*1.50,*1.50,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學測英文級分四、學測英數A自級分總和,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測數學A級分,1
國立中央大學,地球科學學系,國文,均標,--,英文,均標,--,數學A,前標,6,自然,前標,6,英數A自,--,3,*1.00,*1.00,*1.50,*1.50,--,30%,審查資料,--,30%,,,,,,,,,,,,,一、學測自然級分二、學測數學A級分三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立中央大學,地球科學學院學士班,國文,均標,--,英文,前標,6,數學A,前標,6,自然,前標,6,數A自,--,4,*1.00,*1.50,*1.50,*1.50,--,30%,審查資料,--,30%,,,,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立臺灣師範大學,地球科學系,國文,--,--,英文,--,12,數學A,均標,4,自然,均標,6,,,,*1.00,*1.00,*1.50,*1.50,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
國立成功大學,地球科學系,國文,--,--,英文,均標,--,數學A,均標,3,自然,均標,5,,,,*1.00,*1.00,*2.00,*2.00,,40%,審查資料,60分,40%,地球科學筆試,50分,35%,,,,,,,,,,一、地球科學筆試二、學測自然級分三、學測數學A級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料亦可提供) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分,1
國立中正大學,地球與環境科學系,英文,均標,15.0,數學A,均標,8.0,自然,均標,3.0,,,,,,,*1.50,*2.00,*2.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績四、學測英數A自級分總和,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
國立臺灣師範大學,地理學系,國文,前標,--,英文,均標,4,數學B,均標,3,社會,均標,5,英聽,B級,--,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,口試,--,30%,,,,,,,,,,一、口試二、審查資料三、學測數學B級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、I、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測數學B級分　三、學測社會級分　四、學測國文級分,1
中國文化大學,地理學系,國文,後標,6,英文,--,--,社會,--,3,,,,,,,*1.50,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、學測社會級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(K、N)、學習歷程自述(O、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立高雄師範大學,地理學系,英文,均標,5.0,數學B,均標,4.0,社會,均標,3.5,,,,,,,*1.00,*1.00,*1.25,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、學測社會級分三、面試,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測英文、數學B、社會之級分總和,1
