college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
中國文化大學,中國戲劇學系,國文,底標,5,社會,--,--,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分,項目：修課紀錄(A)、多元表現(J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和,1
國立臺灣藝術大學,中國音樂學系作曲組,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,中國音樂學系彈弦組,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,中國音樂學系撥弦組,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,中國音樂學系擊樂組,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,中國音樂學系擦弦組(一)-胡琴,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,中國音樂學系擦弦組(二)-低音擦弦,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,中國音樂學系管樂組,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,中國音樂學系聲樂組,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,主修,80分,55%,,,,,,,,,,副修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,0
國立臺灣藝術大學,亞太建築空間與文物保存學士學位學程,國文,底標,--,英文,底標,--,,,,,,,,,,*2.00,*1.50,,,,25%,審查資料,--,25%,口試,--,35%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.作品集) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
華梵大學,佛教藝術學系,國文,底標,10.0,,,,,,,,,,,,,*1.00,,,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、I、N)、學習歷程自述(P、Q) ,一、學測國文級分,1
義守大學,創意商品設計學系,國文,後標,3.0,英文,--,5.0,,,,,,,,,,*2.00,*1.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
亞洲大學,創意商品設計學系,國文,底標,3.0,社會,底標,3.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、J、K、L、N)、學習歷程自述(P)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和,0
