college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立陽明交通大學,人文社會學系,國文,均標,3.0,英文,前標,3.0,社會,均標,3.0,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,口試,--,40%,,,,,,,,,,一、口試二、學科能力測驗成績三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分　四、學測英文級分,1
國立清華大學,人文社會學院學士班,國文,前標,--,英文,前標,--,數學B,均標,--,社會,前標,--,國英數B社,--,3,*1.00,*1.00,*1.00,*1.00,--,30%,審查資料,--,30%,口試,--,40%,,,,,,,,,,一、口試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、K、M、N)、學習歷程自述(P) ,一、學測國文、英文、數學B、社會之級分總和,1
元智大學,人文社會學院英語學士班,國文,--,3.0,英文,均標,8.0,國英,--,5.0,,,,,,,*1.00,*1.00,--,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學測英文級分三、學測國英級分總和四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、N)、學習歷程自述(O、P)、其他(R.其它有利於審查之資料) ,一、學測國文、英文之級分總和　二、學測英文級分,1
國立臺灣大學,人類學系,國文,--,--,英文,均標,5,數學B,--,--,社會,均標,--,國英數B社,--,2,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,口試,--,25%,,,,,,,,,,一、學測國英數B社級分總和二、口試三、學測英文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、K、M、N) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測社會級分　四、學測國文級分,1
國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,國文,均標,--,英文,均標,3,數學B,--,4,社會,--,--,國英數B社,--,5,*1.25,*1.50,*1.50,*1.00,--,45%,審查資料,--,45%,,,,,,,,,,,,,一、指定項目甄試成績二、學科能力測驗成績三、學測國英數B社級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,國文,均標,--,英文,均標,3,數學B,--,4,社會,--,--,國英數B社,--,5,*1.25,*1.25,*1.25,*1.00,--,45%,審查資料,--,45%,,,,,,,,,,,,,一、指定項目甄試成績二、學科能力測驗成績三、學測國英數B社級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組(青年儲蓄帳戶組),國文,均標,--,英文,均標,--,,,,,,,,,,--,--,,,,0%,審查資料,--,0%,,,,,,,,,,,,,一、審查資料,項目：多元表現(G、I、M、N)、學習歷程自述(P、Q)、其他(R.體驗資歷(體驗學習報告及雙週誌)) ,(無),0
慈濟大學,人類發展與心理學系,國文,底標,3,英文,--,--,,,,,,,,,,*2.00,*1.50,,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,1
長榮大學,健康心理學系,國文,底標,3,英文,--,--,數學B,--,--,,,,,,,*1.00,*1.00,*1.00,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、學測國文級分三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、H、K、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查之資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分,1
慈濟大學,兒童發展與家庭教育學系,國文,底標,3,英文,--,--,社會,--,--,,,,,,,*1.50,*1.50,*2.00,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、學測國文級分三、學測英文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和,1
輔仁大學,兒童與家庭學系,國文,--,3.0,英文,均標,3.0,數學B,--,3.0,,,,,,,*1.50,*1.50,*1.00,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、指定項目甄試成績二、學測英文級分三、學測國文級分四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和,1
中國文化大學,勞動暨人力資源學系,國文,--,3.0,英文,--,3.0,社會,後標,3.0,,,,,,,*2.00,*1.50,*2.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分,1
國立中正大學,勞工關係學系,國文,均標,3,英文,均標,3,數學B,均標,4.5,社會,--,--,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、面試二、學測英文級分三、學測國英數B社級分總和四、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、L、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學B、社會之級分總和,1
輔仁大學,天主教研修學士學位學程,國文,底標,3.0,,,,,,,,,,,,,*1.00,,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、I、N)、學習歷程自述(P) ,一、學測國文級分,1
輔仁大學,宗教學系,國文,後標,--,英文,--,--,社會,--,--,國社,--,3,,,,*2.00,*1.00,*2.00,--,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
真理大學,宗教文化與資訊管理學系,國文,底標,7.0,,,,,,,,,,,,,*1.50,,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(G、H、I、L、N)、學習歷程自述(P、Q) ,一、學測國文級分,1
真理大學,宗教文化與資訊管理學系文創與數位組,國文,--,8.0,社會,底標,8.0,,,,,,,,,,--,*1.50,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(G、I、M、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和　二、學測社會級分,0
真理大學,宗教文化與資訊管理學系藝術與生死組,國文,底標,8.0,社會,--,8.0,,,,,,,,,,--,*1.50,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、學測社會級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、K、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和　二、學測社會級分,0
玄奘大學,宗教與文化學系,國文,底標,5.0,,,,,,,,,,,,,*2.00,,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、K、N)、學習歷程自述(P、Q)、其他(R.自傳(500字以上)) ,一、學測國文級分,1
國立中央大學,客家語文暨社會科學學系客家社會及政策組,國文,前標,3,英文,均標,--,社會,前標,3,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,25%,,,,,,,,,,一、學測國文級分二、學測社會級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和,0
國立中央大學,客家語文暨社會科學學系客家語文及傳播組,國文,前標,3,英文,均標,--,社會,前標,3,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,25%,,,,,,,,,,一、學測國文級分二、學測社會級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和,0
實踐大學,家庭研究與兒童發展學系(臺北校區),國文,--,3,英文,--,5,社會,底標,--,,,,,,,*1.50,*1.50,*1.00,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測英文級分,項目：修課紀錄(A)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分,1
國立臺灣大學,心理學系,國文,均標,--,英文,均標,2.5,數學A,均標,2.5,自然,均標,2.5,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,口試,70分,25%,,,,,,,,,,一、口試二、學科能力測驗成績三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立成功大學,心理學系,英文,均標,3,數學A,均標,3,社會,--,--,自然,均標,3,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、學測英文級分三、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、社會、自然之級分總和　二、學測英文級分,1
東吳大學,心理學系,國文,後標,--,英文,後標,--,數學A,後標,--,國英數A,--,3,,,,*1.00,*1.00,*1.00,--,,45%,審查資料,--,45%,團體面試,60分,15%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學科能力測驗成績四、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、數學A之級分總和,1
