college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺北教育大學,兒童英語教育學系,國文,前標,--,英文,頂標,4,數學B,均標,--,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,英語朗讀,--,15%,英語會話,--,15%,,,,,,,一、指定項目甄試成績二、學測英文級分三、英語會話四、英語朗讀,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分,1
國立臺北教育大學,兒童英語教育學系(公費生),國文,前標,--,英文,頂標,4,數學B,均標,--,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,英語朗讀,--,15%,英語會話,--,15%,,,,,,,一、指定項目甄試成績二、學測英文級分三、英語會話四、英語朗讀,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分,0
國立彰化師範大學,公共事務與公民教育學系公民教育組,國文,前標,--,英文,前標,6,數學B,均標,--,社會,前標,5,國英數B社,--,8,*1.25,*1.25,*1.00,*2.00,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分,1
國立臺灣師範大學,公民教育與活動領導學系,國文,前標,--,英文,前標,--,數學B,均標,--,社會,前標,2,國英數B社,--,3,*1.50,*1.00,*1.00,*2.00,--,40%,審查資料,--,40%,,,,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測社會級分　三、學測國文級分　四、學測英文級分,1
國立暨南國際大學,國際文教與比較教育學系,國文,--,5.0,英文,均標,3.0,,,,,,,,,,*1.00,*1.50,,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、審查資料二、面試,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,1
康寧大學,嬰幼兒保育學系(台北校區),國文,底標,--,英文,--,--,社會,--,--,國英社,--,3,,,,*2.00,*1.00,*2.00,--,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、學測國文級分二、學測社會級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、H、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分　四、學測英文級分,1
國立臺灣師範大學,學習科學學士學位學程,國文,均標,4,英文,均標,--,數學A,前標,8,,,,,,,*1.50,*1.50,*2.00,,,50%,審查資料,--,50%,口試,--,30%,,,,,,,,,,一、學測國英數A級分總和二、口試三、審查資料四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.其它有利審查事項) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測國文級分　四、學測英文級分,1
臺北市立大學,學習與媒材設計學系,國文,均標,6,英文,均標,8,數學B,--,10,社會,均標,--,國英數B社,--,3,*2.00,*2.00,*1.00,*2.00,--,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、學科能力測驗成績二、學測國文級分三、學測英文級分四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、N)、學習歷程自述(P、Q)、其他(R.自傳：成長歷程﹑興趣) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,1
國立高雄師範大學,工業科技教育學系科技教育與訓練組,國文,--,--,英文,--,7,數學A,均標,6,自然,均標,5,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、學測英文級分三、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
國立高雄師範大學,工業科技教育學系能源與冷凍空調組,國文,--,--,英文,--,5,數學A,均標,6,自然,均標,6,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
