college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立屏東大學,不動產經營學系,國文,後標,2.0,社會,後標,2.0,,,,,,,,,,*2.00,*2.00,,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、指定項目甄試成績二、學測國文級分三、學測社會級分四、學測國社級分總和,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立臺北大學,不動產與城鄉環境學系(飛鳶組),國文,均標,--,英文,均標,6,數學B,均標,7,,,,,,,--,*1.00,*1.00,,,40%,審查資料,--,40%,,,,,,,,,,,,,一、審查資料二、學測國英數B級分總和三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,0
國立臺北大學,不動產與城鄉環境學系乙組,英文,均標,--,數學B,均標,3,社會,前標,--,英數B社,--,2.5,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測英文、數學B、社會之級分總和　二、學測社會級分　三、學測英文級分　四、學測數學B級分,0
國立臺北大學,不動產與城鄉環境學系甲組,國文,前標,--,英文,均標,--,數學B,均標,3,國英數B,--,2.5,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,0
佛光大學,公共事務學系(國際與兩岸事務組),國文,--,--,社會,底標,3,,,,,,,,,,*1.00,*2.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測社會級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和,0
佛光大學,公共事務學系(行政管理組),國文,底標,3,社會,--,--,,,,,,,,,,*2.00,*1.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和,0
國立彰化師範大學,公共事務與公民教育學系公共事務組,國文,前標,--,英文,前標,6,數學B,均標,--,社會,前標,5,國英數B社,--,8,*1.25,*1.25,*1.00,*2.00,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分,1
銘傳大學,公共事務與行政管理學系（桃園校區）,國文,--,7,社會,底標,--,國社,--,3,,,,,,,*2.00,*1.00,--,,,20%,審查資料,--,20%,面試,70分,40%,,,,,,,,,,一、面試二、學測社會級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、社會之級分總和,0
義守大學,公共政策與管理學系,國文,--,--,英文,--,--,社會,後標,3,,,,,,,*2.00,*1.00,*2.00,,,10%,審查資料,--,10%,面試,--,45%,,,,,,,,,,一、學測社會級分二、面試三、審查資料四、學測國文級分,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分　四、學測英文級分,1
國立臺東大學,公共與文化事務學系,國文,後標,4.0,社會,後標,3.0,,,,,,,,,,*1.00,*2.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、社會之級分總和,1
