college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
大葉大學,休閒事業管理學系,國文,底標,3.0,社會,--,3.0,,,,,,,,,,*2.00,*1.75,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、指定項目甄試成績四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
義守大學,休閒事業管理學系,國文,後標,3,英文,--,5,社會,--,--,,,,,,,*2.00,*1.00,*2.00,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
開南大學,休閒事業管理學系,社會,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、M、N)、學習歷程自述(Q) ,一、學測社會級分,1
國立屏東大學,休閒事業經營學系,國文,均標,--,英文,均標,--,國英數B,--,6,,,,,,,*1.50,*1.50,--,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分,1
明道大學,休閒保健學系,國文,--,--,數學B,底標,3,,,,,,,,,,*1.00,*2.00,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國數B級分總和,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(P) ,一、學測國文、數學B之級分總和　二、學測數學B級分　三、學測國文級分,1
實踐大學,休閒產業管理學系休閒文創規劃組(高雄校區),國文,底標,6.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q) ,一、學測國文級分,0
實踐大學,休閒產業管理學系精品咖啡烘焙經營組(高雄校區),社會,底標,6.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q) ,一、學測社會級分,0
實踐大學,休閒產業管理學系遊憩運動企劃組(高雄校區),自然,底標,6.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q) ,一、學測自然級分,0
國立體育大學,休閒產業經營學系,國文,--,--,英文,均標,--,數學B,--,--,國英數B,--,2.5,,,,*1.25,*1.25,*1.25,--,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、指定項目甄試成績二、學測國英數B級分總和三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分,1
國立宜蘭大學,休閒產業與健康促進學系,國文,後標,--,英文,均標,3,數學B,--,6,社會,--,--,國英社,--,5.0,*1.00,*2.00,--,*1.00,--,30%,審查資料,--,30%,口試,--,30%,,,,,,,,,,一、學測英文級分二、口試三、學測國英數B社級分總和,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(P) ,一、學測國文、英文、數學B、社會之級分總和,1
亞洲大學,休閒與遊憩管理學系旅遊事業管理組,國文,底標,3.0,英文,--,3.0,,,,,,,,,,*2.00,*1.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,0
亞洲大學,休閒與遊憩管理學系餐旅事業管理組,國文,底標,3.0,社會,--,3.0,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分,0
亞洲大學,休閒與遊憩管理學系餐旅事業管理組(青年儲蓄帳戶組),國文,底標,--,社會,底標,--,,,,,,,,,,--,--,,,,0%,審查資料,--,0%,面試,--,40%,,,,,,,,,,一、審查資料,項目：其他(R.體驗資歷（體驗學習報告及雙週誌）) ,(無),0
銘傳大學,休閒遊憩管理學系（桃園校區）,國文,--,3,英文,--,--,社會,底標,3,,,,,,,*1.25,*1.50,*1.00,,,20%,審查資料,--,20%,面試,70分,40%,,,,,,,,,,一、面試二、學測英文級分三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,0
國立臺灣體育運動大學,休閒運動學系(一般組),國文,底標,3.0,英文,底標,3.0,社會,底標,3.0,,,,,,,*1.25,*1.00,*1.00,,,30%,審查資料,60分,30%,面試,60分,35%,,,,,,,,,,一、學測國文級分二、學測英文級分三、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、L、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和,0
國立臺灣體育運動大學,休閒運動學系(休閒運動組),國文,底標,3.0,英文,底標,3.0,社會,底標,3.0,,,,,,,*1.00,*1.00,*1.00,,,20%,審查資料,60分,20%,面試,60分,40%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和,0
