college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,工商管理學系企業管理組,國文,頂標,--,英文,頂標,3,數學A,頂標,3,社會,--,--,國英數A社,--,4,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,口試,70分,30%,,,,,,,,,,一、學測國英數A社級分總和二、口試三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.工管系個人資料表) ,一、學測國文、英文、數學A、社會之級分總和　二、學測英文級分　三、學測數學A級分,1
國立臺灣大學,工商管理學系科技管理組,國文,--,--,英文,頂標,3,數學A,頂標,3,自然,--,--,國英數A自,--,4,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,口試,70分,30%,,,,,,,,,,一、學測國英數A自級分總和二、口試三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.工管系個人資料表) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分,1
國立臺灣師範大學,企業管理學系,國文,均標,5.0,英文,均標,3.0,數學B,前標,4.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,口試,--,30%,,,,,,,,,,一、學測國英數B級分總和二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
國立中興大學,企業管理學系,國文,--,--,英文,前標,3.5,數學B,前標,3,國英數B社,--,5,,,,*1.00,*2.00,*2.00,--,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學科能力測驗成績二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(G、H、I、L、N)、學習歷程自述(O、P、Q)、其他(R.自傳、S.其他有助於審查資料) ,一、學測國文、英文、數學B、社會之級分總和,1
國立中興大學,國際農企業學士學位學程,國文,均標,--,英文,前標,10,數學A,均標,--,自然,均標,7,英聽,A級,--,*1.00,*2.00,*1.00,*1.00,--,35%,審查資料,--,35%,面試,--,35%,,,,,,,,,,一、面試二、學測英文級分三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、H、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
國立成功大學,企業管理學系,國文,均標,--,英文,前標,2.5,數學B,均標,3,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測國英數B級分總和二、面試三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、L、M、N)、學習歷程自述(Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
東吳大學,企業管理學系,英文,均標,3.0,數學B,均標,5.0,,,,,,,,,,*1.00,*1.00,,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、指定項目甄試成績二、學科能力測驗成績三、學測英文級分,項目：修課紀錄(A)、多元表現(G、H、L、M、N)、學習歷程自述(O、P、Q)、其他(R.佐證個人能力特色資料) ,一、學測英文、數學B之級分總和,1
國立政治大學,企業管理學系,國文,前標,4.0,英文,前標,3.0,數學A,前標,3.0,社會,--,4.0,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學測國英數A社級分總和三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、社會之級分總和　二、學測英文級分,1
中原大學,企業管理學系服務業管理組,國文,均標,5,英文,--,3,數學B,--,--,,,,,,,*1.00,*1.50,*1.00,,,20%,審查資料,--,20%,面試,60分,40%,,,,,,,,,,一、面試二、審查資料三、學測國英數B級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分,1
中原大學,企業管理學系高科技業管理組,國文,均標,3,英文,--,--,數學B,--,5,,,,,,,*1.00,*1.50,*1.00,,,20%,審查資料,--,20%,面試,60分,40%,,,,,,,,,,一、面試二、審查資料三、學測國英數B級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分,1
