college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,公共衛生學系,英文,均標,--,數學A,均標,--,自然,均標,--,英數A自,--,3,,,,*1.00,*1.00,*1.00,--,,30%,審查資料,--,30%,口試,70分,40%,,,,,,,,,,一、口試二、學測數學A級分三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(M、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
國立臺灣師範大學,健康促進與衛生教育學系,國文,均標,2.5,英文,均標,2.5,數學A,--,--,自然,--,--,,,,*1.00,*1.50,*1.00,*1.50,,50%,審查資料,--,50%,口試,--,30%,,,,,,,,,,一、口試二、學科能力測驗成績三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測數學A級分,1
高雄醫學大學,口腔衛生學系,國文,均標,--,英文,後標,5,數學A,後標,--,自然,均標,3,,,,*1.00,*1.25,*1.00,*1.25,,40%,審查資料,70分,40%,面試,70分,30%,,,,,,,,,,一、學測英文級分二、面試三、審查資料四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分,1
高雄醫學大學,公共衛生學系,國文,--,--,英文,均標,5,數學A,均標,3,自然,--,--,,,,*1.80,*1.80,*2.00,*2.00,,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、面試二、學測數學A級分三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、I、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測國文級分,1
中國醫藥大學,公共衛生學院大一不分系,國文,--,3,英文,後標,--,自然,後標,8,,,,,,,*2.00,*1.75,*2.00,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談二、學測自然級分三、學測英文級分四、學測國英自級分總和,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、L、N)、學習歷程自述(P、Q) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
輔仁大學,公共衛生學系,國文,--,6,英文,後標,--,數學A,後標,--,數學B,後標,--,國英,--,3,*1.00,*1.00,--,--,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、I、N)、學習歷程自述(P、Q) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
中山醫學大學,公共衛生學系,國文,--,--,英文,--,--,數學A,後標,6,自然,--,--,國英,--,3,*1.00,*1.00,*1.00,*1.00,--,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、面試二、學測國英數A自級分總和三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測國文級分　四、學測英文級分,1
臺北市立大學,衛生福利學系,英文,均標,3.5,數學A,均標,10,自然,--,--,,,,,,,*2.00,*1.50,*2.00,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、指定項目甄試成績二、學科能力測驗成績三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、M、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分,1
慈濟大學,公共衛生學系,國文,--,--,英文,後標,--,數學A,--,--,國英數A,--,3,,,,*1.00,*1.50,*1.00,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、指定項目甄試成績二、面試三、學測數學A級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、I、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A之級分總和,1
臺北醫學大學,公共衛生學系,國文,均標,--,英文,均標,3,數學A,--,8,自然,均標,8,,,,*1.00,*1.00,*1.50,*1.50,,40%,審查資料,--,40%,面試,60分,35%,,,,,,,,,,一、面試二、學測數學A級分三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.學生認為有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
臺北醫學大學,口腔衛生學系,國文,均標,3,英文,均標,10,數學A,後標,--,自然,均標,9,,,,*1.00,*1.00,--,*1.00,,40%,審查資料,--,40%,面試,60分,35%,,,,,,,,,,一、面試二、學測英文級分三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、J、K、N)、學習歷程自述(P) ,一、學測國文、英文、數學A、自然之級分總和,1
