college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,化學系,國文,均標,--,英文,均標,3,數學A,均標,4,自然,均標,5,,,,*1.00,*1.00,*1.50,*1.50,,20%,審查資料,--,20%,化學筆試,--,25%,口試,--,20%,,,,,,,一、口試二、化學筆試三、學科能力測驗成績四、審查資料,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、N)、學習歷程自述(O)、其他(R.高中老師推薦信) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分,1
國立臺灣師範大學,化學系,英文,均標,5.0,數學A,均標,4.0,自然,均標,3.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,化學學科筆試,--,30%,,,,,,,,,,一、化學學科筆試二、學測英數A自級分總和三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
國立中興大學,化學系,國文,--,--,英文,均標,8,數學A,前標,4,自然,前標,3,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,化學學科筆試,--,30%,,,,,,,,,,一、化學學科筆試二、學科能力測驗成績三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分,1
國立成功大學,化學系,英文,前標,--,數學A,前標,--,自然,前標,3,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,化學學科筆試,--,40%,,,,,,,,,,一、化學學科筆試二、審查資料三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(P)、其他(R.有利審查資料皆可提供) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
東吳大學,化學系,英文,--,--,數學A,後標,--,自然,後標,3,,,,,,,*1.00,*1.00,*2.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料四、學測自然級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、N)、學習歷程自述(Q)、其他(R.其他有利審查項目) ,一、學測英文、數學A、自然之級分總和,1
高雄醫學大學,醫藥暨應用化學系醫藥化學組,英文,--,5,數學A,--,--,自然,均標,3,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、N)、其他(R.需上傳指定自傳格式) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
高雄醫學大學,醫藥暨應用化學系應用化學組,英文,--,5,數學A,--,--,自然,均標,3,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、N)、其他(R.需上傳指定自傳格式) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
東海大學,化學系化學組,英文,後標,--,自然,後標,--,英自,--,3,,,,,,,*1.50,*2.00,--,,,40%,審查資料,--,40%,面試,--,10%,,,,,,,,,,一、審查資料二、學測自然級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、K、M、N)、學習歷程自述(P、Q) ,一、學測英文、自然之級分總和　二、學測自然級分　三、學測英文級分,1
東海大學,化學系化學生物組,英文,後標,--,自然,後標,--,英自,--,3,,,,,,,*1.50,*2.00,--,,,40%,審查資料,--,40%,面試,--,10%,,,,,,,,,,一、審查資料二、學測自然級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、K、M、N)、學習歷程自述(P、Q) ,一、學測英文、自然之級分總和　二、學測自然級分　三、學測英文級分,1
國立清華大學,化學系,英文,前標,10.0,數學A,前標,3.0,自然,前標,7.0,,,,,,,*1.00,*1.50,*1.50,,,30%,審查資料,--,30%,化學筆試,--,40%,,,,,,,,,,一、化學筆試二、審查資料,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
國立陽明交通大學,應用化學系,國文,均標,--,英文,前標,3,數學A,前標,3,自然,前標,3,,,,--,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
淡江大學,化學學系化學與生物化學組,英文,--,--,數學A,--,--,自然,後標,3,,,,,,,*1.00,*1.00,*2.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和,1
淡江大學,化學學系材料化學組,英文,--,--,數學A,--,--,自然,後標,3,,,,,,,*1.00,*1.00,*2.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和,1
國立中央大學,化學學系,國文,均標,3.5,英文,均標,3.0,數學A,均標,3.0,自然,均標,3.0,,,,--,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,筆試,--,40%,,,,,,,,,,一、指定項目甄試成績二、學測自然級分三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
中國文化大學,化學系,國文,--,--,英文,--,--,數學A,--,--,自然,後標,3,,,,*1.50,*1.00,*1.50,*1.50,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料四、學測自然級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、H、J、N) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
靜宜大學,應用化學系,國文,--,5.0,自然,底標,3.0,,,,,,,,,,*1.00,*2.00,,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測自然級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(J、K、M、N)、學習歷程自述(O、P)、其他(R.其他有利審查資料) ,一、學測國文、自然之級分總和　二、學測自然級分　三、學測國文級分,1
