college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,化學工程學系,國文,頂標,3.0,英文,頂標,3.0,數學A,頂標,3.0,自然,頂標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,綜合筆試(B),--,30%,,,,,,,,,,一、指定項目甄試成績二、學測自然級分三、學測數學A級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分,1
國立中興大學,化學工程學系,國文,--,--,英文,均標,5,數學A,均標,3,自然,均標,3,,,,*1.00,*1.50,*1.50,*1.50,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立成功大學,化學工程學系,國文,均標,--,英文,前標,--,數學A,頂標,5,自然,頂標,5,國英數A自,--,3,*1.00,*1.00,*1.50,*1.50,--,50%,審查資料,60分,50%,認識本系及筆試,60分,10%,,,,,,,,,,一、審查資料二、學測自然級分三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、J、M、N)、學習歷程自述(P) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
國立清華大學,化學工程學系,國文,前標,--,英文,前標,5,數學A,前標,--,自然,頂標,3,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,筆試,--,15%,,,,,,,,,,一、審查資料二、學測自然級分三、筆試,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
淡江大學,化學工程與材料工程學系,英文,後標,--,數學A,後標,--,自然,後標,--,英數A自,--,3,,,,*1.00,*1.00,*1.50,--,,30%,審查資料,--,30%,團體面試,--,30%,,,,,,,,,,一、審查資料二、團體面試三、學科能力測驗成績四、學測自然級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(G、H、I、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
逢甲大學,化學工程學系,國文,--,--,英文,後標,--,數學A,--,--,自然,後標,--,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(G、I、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查之資料) ,一、學測國文、英文、數學A、自然之級分總和,1
國立中央大學,化學工程與材料工程學系,數學A,頂標,3.0,自然,頂標,4.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,英文筆試,--,40%,,,,,,,,,,一、英文筆試二、學測數學A級分三、學測自然級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測數學A、自然之級分總和,1
中國文化大學,化學工程與材料工程學系,英文,--,3.0,數學A,--,3.0,自然,底標,3.0,,,,,,,*1.00,*1.50,*1.50,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測英數A自級分總和二、學測自然級分三、學測數學A級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(P、Q)、其他(R.有助於審查之證明資料) ,一、學測英文、數學A、自然之級分總和,1
中國文化大學,紡織工程學系,國文,--,--,英文,--,3,數學A,--,--,自然,底標,3,,,,*1.00,*1.25,*1.00,*1.25,,45%,審查資料,--,45%,面試,--,25%,,,,,,,,,,一、學測國英數A自級分總和二、面試三、學測自然級分四、審查資料,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
元智大學,化學工程與材料科學學系,國文,--,--,英文,--,--,數學A,--,--,自然,均標,--,英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測數學A級分二、面試三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、N)、學習歷程自述(O) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分,1
國立中正大學,化學工程學系,國文,均標,--,英文,均標,12,數學A,均標,6,自然,均標,3,,,,*1.00,*1.25,*1.25,*1.25,,50%,審查資料,--,50%,,,,,,,,,,,,,一、審查資料二、學測數學A級分三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、L、N)、學習歷程自述(O、P、Q)、其他(R.申請入學個人資料表) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分,1
義守大學,化學工程學系,國文,--,--,英文,--,--,數學A,後標,3,,,,,,,*1.00,*1.00,*2.00,,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、學測國文級分二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測國文級分　四、學測英文級分,1
國立高雄大學,化學工程及材料工程學系,國文,均標,3.0,英文,均標,3.0,數學A,均標,3.0,自然,均標,3.0,,,,*1.00,*1.50,*1.50,*2.00,,50%,審查資料,45分,50%,團體面試,5分,5%,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
國立宜蘭大學,化學工程與材料工程學系,國文,--,--,英文,--,--,數學A,後標,3,自然,均標,5,,,,*1.00,*1.50,*1.50,*2.00,,40%,審查資料,--,40%,口試,--,30%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
國立聯合大學,化學工程學系,英文,--,--,數學A,後標,3,自然,--,6,,,,,,,*1.00,*2.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學科能力測驗成績四、審查資料,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測英文、數學A、自然之級分總和,1
