college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,國際企業學系,國文,--,--,英文,頂標,2.5,數學A,頂標,--,社會,--,--,國英數A社,--,3.5,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,口試,--,30%,,,,,,,,,,一、口試二、審查資料三、學測國英數A社級分總和四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、L、N)、學習歷程自述(Q)、其他(R.本系個人資料表、S.其他有利資料) ,一、學測國文、英文、數學A、社會之級分總和　二、學測數學A級分　三、學測國文級分,1
東吳大學,國際經營與貿易學系,國文,均標,--,英文,前標,4,數學B,均標,--,國數B,--,3,,,,*1.00,*2.00,*1.00,--,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英文級分二、學測國文級分三、學測數學B級分四、審查資料,項目：修課紀錄(A)、多元表現(F、K、M、N)、學習歷程自述(Q)、其他(R.本系自訂個人資料表、S.其他有利審查項目) ,一、學測國文、英文、數學B之級分總和,1
國立政治大學,國際經營與貿易學系,國文,前標,5,英文,前標,4,數學A,前標,3,社會,--,--,國英數A社,--,6,*1.50,*2.00,*2.00,*1.00,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、H、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、社會之級分總和　二、學測英文級分,1
中原大學,國際經營與貿易學系,國文,--,5.0,英文,--,3.0,社會,後標,5.0,,,,,,,*1.00,*1.50,--,,,30%,審查資料,--,30%,面試,60分,30%,,,,,,,,,,一、學測英文級分二、學測國文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、H、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分,1
東海大學,國際經營與貿易學系,國文,--,4.0,英文,均標,3.0,數學B,--,4.0,,,,,,,*1.75,*2.00,*1.50,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測國英數B級分總和三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、K、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分,1
東海大學,國際學院國際經營管理學位學程,英文,均標,3,社會,--,--,,,,,,,,,,*2.00,*1.00,,,,35%,審查資料,--,35%,英文面試,--,35%,,,,,,,,,,一、英文面試二、學測英文級分三、審查資料,項目：修課紀錄(A)、多元表現(F、I、M、N) ,一、學測英文、社會之級分總和　二、學測英文級分　三、學測社會級分,1
淡江大學,國際企業學系經貿管理組,國文,--,5.0,英文,--,5.0,數學B,後標,3.0,,,,,,,*1.00,*1.50,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、H、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分,1
淡江大學,國際企業學系國際商學全英語組,國文,--,5.0,英文,均標,3.0,數學B,--,4.0,,,,,,,*1.00,*2.00,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、H、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分,1
淡江大學,全球政治經濟學系全英語學士班,國文,--,--,英文,均標,3,社會,--,--,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測英文級分二、審查資料三、面試四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和,1
逢甲大學,國際經營與貿易學系,國文,--,--,英文,均標,--,數學B,後標,--,社會,--,--,國英數B社,--,3,*1.00,*2.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、學測英文級分三、學測國文級分四、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有助於審查資料) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分,1
