college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,土木工程學系,國文,均標,3.0,英文,均標,3.0,數學A,均標,3.0,自然,均標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,綜合筆試(A),--,30%,,,,,,,,,,一、指定項目甄試成績二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立中興大學,土木工程學系,國文,均標,--,英文,均標,--,數學A,均標,3,自然,均標,3,國英數A自,--,2.5,*1.00,*1.00,*1.50,*1.50,--,50%,審查資料,--,50%,筆試(土木相關知識),--,10%,,,,,,,,,,一、學測自然級分二、學測數學A級分三、審查資料四、學測國英數A自級分總和,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立成功大學,土木工程學系,國文,均標,6.0,英文,均標,6.0,數學A,均標,4.0,自然,均標,4.0,國英數A自,--,3.0,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測自然級分二、審查資料三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、L、N)、學習歷程自述(O) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立成功大學,測量及空間資訊學系,國文,均標,--,英文,均標,--,數學A,均標,--,自然,均標,--,國英數A自,--,3,*1.00,*2.00,*2.00,*2.00,--,50%,審查資料,--,50%,面試,--,10%,,,,,,,,,,一、學測國英數A自級分總和二、面試三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
國立政治大學,地政學系土地測量與資訊組,國文,前標,4,英文,前標,3.5,數學A,前標,3.5,自然,前標,--,國英數A自,--,3,*1.00,*1.50,*2.00,--,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測數學A級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
中原大學,土木工程學系,國文,--,3,英文,--,--,數學A,後標,3,,,,,,,*1.00,*1.00,*2.00,,,50%,審查資料,--,50%,面試,--,10%,,,,,,,,,,一、學測數學A級分二、學測國文級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q)、其他(R.自傳) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分,1
淡江大學,土木工程學系,國文,--,--,英文,--,--,數學A,--,3,自然,後標,3,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,團體面試,--,20%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(G、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
逢甲大學,土木工程學系,國文,--,--,英文,後標,--,數學A,後標,--,自然,--,--,國英數A自,--,3,*1.00,*1.00,*2.00,*1.50,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測數學A級分三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.對土木領域的認識、S.對AI﹑永續議題看法) ,一、學測國文、英文、數學A、自然之級分總和,1
國立中央大學,土木工程學系,國文,均標,--,英文,均標,--,數學A,均標,--,自然,均標,--,英數A自,--,3,*1.00,*1.25,*1.50,*1.50,--,30%,審查資料,--,30%,,,,,,,,,,,,,一、學測數學A級分二、學測自然級分三、指定項目甄試成績四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、I、J、L、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學A、自然之級分總和,1
中華大學,土木工程學系,數學A,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、學測數學A級分三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、H、L、M、N)、學習歷程自述(P、Q) ,一、學測數學A級分,1
