college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,生物產業傳播暨發展學系,國文,前標,3,英文,前標,3,數學B,前標,3,社會,前標,--,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,60分,50%,口試,60分,25%,,,,,,,,,,一、學科能力測驗成績二、口試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
國立臺灣師範大學,圖文傳播學系,國文,均標,7.0,英文,均標,6.0,數學A,均標,8.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測英文級分二、面試三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學A級分,1
國立陽明交通大學,傳播與科技學系,國文,前標,3.0,英文,前標,3.0,數學B,均標,5.0,社會,前標,3.0,,,,*2.00,*2.00,*1.00,*2.00,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測社會級分二、學測英文級分三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測社會級分　三、學測英文級分　四、學測國文級分,1
淡江大學,大眾傳播學系,國文,後標,3.0,英文,後標,3.0,,,,,,,,,,*1.50,*1.50,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、G、J、K、N)、學習歷程自述(P、Q)、其他(R.影音圖文等創作作品) ,一、學測國文、英文之級分總和　二、學測英文級分,1
中國文化大學,大眾傳播學系,國文,底標,3,英文,--,3,社會,--,--,,,,,,,*2.00,*2.00,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、學測國文級分三、學測社會級分四、審查資料,項目：修課紀錄(A)、課程學習成果(C、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分,1
靜宜大學,大眾傳播學系,國文,均標,--,英文,--,--,國英,--,3,,,,,,,*1.50,*1.00,--,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測國文級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
國立東華大學,民族語言與傳播學系,國文,均標,7.0,社會,均標,9.0,,,,,,,,,,*1.00,*1.00,,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測國文級分二、學測社會級分三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、社會之級分總和　二、學測社會級分,1
國立中正大學,傳播學系,國文,均標,3.0,英文,均標,6.0,社會,均標,8.0,,,,,,,*1.25,*1.25,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P)、其他(R.表達對公共事務的見解、S.參與社會社區活動事例) ,一、學測國文、英文、社會之級分總和,1
大葉大學,傳播藝術學士學位學程,國文,--,10.0,社會,--,8.0,國社,--,5.0,,,,,,,*2.00,--,--,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
義守大學,大眾傳播學系,國文,後標,--,英文,--,5,社會,--,3,,,,,,,--,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測國文級分三、學測社會級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
世新大學,圖文傳播暨數位出版學系,國文,後標,3.0,英文,後標,5.0,,,,,,,,,,*1.00,*1.00,,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和,1
世新大學,口語傳播暨社群媒體學系,國文,均標,4.0,英文,均標,3.0,,,,,,,,,,*1.00,*1.00,,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測國文級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和,1
世新大學,傳播管理學系,國文,後標,5,英文,後標,3,社會,--,--,,,,,,,*1.50,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、社會之級分總和,1
國立臺灣藝術大學,圖文傳播藝術學系,國文,均標,--,英文,均標,--,社會,均標,--,自然,均標,--,國英社自,--,3.0,*2.00,*2.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、審查資料二、面試三、指定項目甄試成績四、學測國英社自級分總和,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、K、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會、自然之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
玄奘大學,大眾傳播學系,國文,底標,3.0,,,,,,,,,,,,,*1.00,,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、K、N)、學習歷程自述(P)、其他(R.自傳) ,一、學測國文級分,1
慈濟大學,傳播學系,國文,後標,5.0,社會,底標,4.0,國社,--,3.0,,,,,,,*2.00,*1.00,--,,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、面試二、學測國文級分三、學測社會級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、K、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和,1
