college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
大同大學,媒體設計學系互動媒體設計組,國文,--,5.0,英文,後標,4.0,國英,--,3.0,,,,,,,*1.00,*1.00,--,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、N)、學習歷程自述(O、P) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
大同大學,媒體設計學系數位遊戲設計組,國文,--,--,英文,--,5,數學B,後標,4,國英數B,--,3,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測數學B級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分,1
國立臺北教育大學,數位科技設計學系,國文,均標,--,英文,均標,4,數學B,均標,3,國英數B,--,5,,,,*1.00,*1.50,*1.50,--,,45%,審查資料,--,45%,創意素描,--,20%,,,,,,,,,,一、學測國英數B級分總和二、創意素描三、審查資料,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和,1
華梵大學,攝影與VR設計學系攝影與科技藝術組,國文,底標,3.0,,,,,,,,,,,,,*1.00,,,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、K、N)、學習歷程自述(O、P、Q) ,一、學測國文級分,1
義守大學,數位多媒體設計學系,國文,後標,3,英文,--,5,社會,--,--,,,,,,,*2.00,*1.25,*1.75,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、學測國文級分三、學測社會級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分　四、學測英文級分,1
世新大學,數位多媒體設計學系動畫設計組,國文,後標,--,英文,後標,3,,,,,,,,,,*1.00,*1.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和,1
世新大學,數位多媒體設計學系遊戲設計組,國文,後標,--,英文,後標,3,,,,,,,,,,*1.00,*1.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和,1
開南大學,電影與創意媒體學系,社會,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、N)、學習歷程自述(P) ,一、學測社會級分,1
明道大學,數位設計學系,國文,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(G、J、K、M、N)、學習歷程自述(P、Q) ,一、學測國文級分,1
亞洲大學,數位媒體設計學系,國文,底標,3.0,英文,底標,3.0,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.各校系需求之補充資料、S.其他有利審查資料) ,一、學測國文、英文之級分總和,1
