college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,工程科學及海洋工程學系,英文,均標,--,數學A,均標,3,自然,均標,6,英數A自,--,10,,,,--,--,--,--,,0%,審查資料,--,0%,綜合筆試(A),--,50%,,,,,,,,,,一、審查資料二、綜合筆試(A)三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
國立成功大學,資源工程學系,國文,均標,10.0,英文,均標,8.0,數學A,均標,4.0,自然,均標,6.0,國英數A自,--,3.0,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
國立成功大學,工程科學系,英文,前標,--,數學A,前標,6,自然,前標,3,國英數A自,--,12,,,,*1.00,*1.50,*1.50,--,,50%,審查資料,--,50%,面試,--,10%,,,,,,,,,,一、審查資料二、面試三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測數學A級分,1
國立成功大學,系統及船舶機電工程學系,國文,均標,--,英文,前標,--,數學A,前標,5,自然,前標,5,國英自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,--,15%,,,,,,,,,,一、面試二、審查資料三、學測國英數A自級分總和四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立清華大學,工程與系統科學系甲組(低碳綠能組),國文,均標,--,英文,前標,--,數學A,前標,--,自然,前標,--,國英數A自,--,3,*1.00,*1.00,*1.25,*1.25,--,40%,審查資料,--,40%,筆試及互動式座談,--,10%,,,,,,,,,,一、審查資料二、學測英文級分三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分,1
國立清華大學,工程與系統科學系乙組(智慧奈米系統組),國文,前標,--,英文,前標,--,數學A,前標,--,自然,前標,--,國英數A自,--,3,*1.00,*1.00,*1.25,*1.25,--,40%,審查資料,--,40%,筆試及互動式座談,--,10%,,,,,,,,,,一、審查資料二、學測英文級分三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立清華大學,原子科學院學士班,國文,均標,3.0,英文,前標,3.0,數學A,前標,3.0,自然,前標,3.0,,,,*1.00,*1.00,*1.25,*1.25,,50%,審查資料,--,50%,面試,--,10%,,,,,,,,,,一、審查資料二、面試三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
大同大學,機械與材料工程學系,國文,--,--,英文,--,--,數學A,底標,--,數學B,底標,--,自然,--,--,*1.00,*1.00,--,--,*1.00,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測英文級分二、學測自然級分三、學測國文級分,項目：修課紀錄(A)、多元表現(F、J、K、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
國立臺灣海洋大學,系統工程暨造船學系,英文,均標,6.0,數學A,均標,4.0,自然,均標,3.0,,,,,,,*1.25,*1.50,*1.25,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、學測英數A自級分總和三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分,1
國立臺南大學,綠色能源科技學系,國文,--,7.0,英文,--,5.0,數學A,均標,3.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學A級分二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
國立聯合大學,能源工程學系,英文,--,5,數學A,--,--,自然,後標,3,,,,,,,--,*1.00,*1.00,,,45%,審查資料,--,45%,面試,--,15%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、多元表現(F、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測英文、數學A、自然之級分總和,1
