college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,心理學系,國文,均標,--,英文,均標,2.5,數學A,均標,2.5,自然,均標,2.5,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,口試,70分,25%,,,,,,,,,,一、口試二、學科能力測驗成績三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立成功大學,心理學系,英文,均標,3,數學A,均標,3,社會,--,--,自然,均標,3,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、學測英文級分三、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、社會、自然之級分總和　二、學測英文級分,1
東吳大學,心理學系,國文,後標,--,英文,後標,--,數學A,後標,--,國英數A,--,3,,,,*1.00,*1.00,*1.00,--,,45%,審查資料,--,45%,團體面試,60分,15%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學科能力測驗成績四、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、數學A之級分總和,1
國立政治大學,心理學系,國文,均標,6,英文,均標,5,數學A,均標,3.5,自然,均標,--,英聽,B級,--,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測國文級分　四、學測自然級分,1
高雄醫學大學,心理學系,英文,均標,3.0,自然,後標,5.0,,,,,,,,,,*1.25,*1.00,,,,40%,審查資料,--,40%,面試,60分,35%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、N)、學習歷程自述(Q)、其他(R.參與心理學相關活動、S.參加人文自然科學活動) ,一、學測英文、自然之級分總和　二、學測英文級分　三、學測自然級分,1
中原大學,心理學系,國文,後標,--,英文,均標,4,數學A,均標,3,自然,後標,5,,,,*1.00,*1.00,*1.00,*1.00,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、學測英文級分三、學測數學A級分四、學測國英數A自級分總和,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(Q)、其他(R.心理相關書籍讀書心得) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分,1
輔仁大學,臨床心理學系,國文,後標,--,英文,後標,--,數學A,後標,--,自然,後標,--,國英數A,--,3,*1.00,*1.00,*1.00,*1.00,--,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學A級分,1
輔仁大學,心理學系,國文,後標,--,英文,後標,--,社會,後標,--,國英社,--,3,,,,*1.00,*1.00,*1.00,--,,20%,審查資料,--,20%,,,,,,,,,,,,,一、指定項目甄試成績二、學測國英社級分總和三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
中山醫學大學,心理學系,國文,--,10.0,英文,後標,3.0,數學A,--,8.0,,,,,,,*1.50,*2.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測英文級分三、學測數學A級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測數學A級分　四、學測國文級分,1
國立東華大學,諮商與臨床心理學系,英文,均標,3.5,數學B,均標,3.0,,,,,,,,,,*2.00,*1.00,,,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學測數學B級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學B之級分總和　二、學測英文級分,1
國立中正大學,心理學系,國文,均標,--,英文,均標,3,數學A,均標,3,自然,均標,8,,,,*1.00,*1.25,*1.25,*1.25,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(D、E)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
世新大學,社會心理學系,國文,後標,3,英文,後標,8,數學A,底標,--,數學B,底標,--,,,,*1.00,*1.00,--,--,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、審查資料二、面試三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和,1
長榮大學,健康心理學系,國文,底標,3,英文,--,--,數學B,--,--,,,,,,,*1.00,*1.00,*1.00,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、學測國文級分三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、H、K、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查之資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分,1
玄奘大學,應用心理學系,社會,底標,3.0,,,,,,,,,,,,,*2.00,,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、N)、學習歷程自述(P、Q) ,一、學測社會級分,1
慈濟大學,人類發展與心理學系,國文,底標,3,英文,--,--,,,,,,,,,,*2.00,*1.50,,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,1
佛光大學,心理學系,國文,--,--,英文,--,--,數學A,底標,--,數學B,底標,--,國英,--,3,*1.00,*1.00,--,--,--,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、審查資料,項目：修課紀錄(A)、多元表現(F、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文之級分總和,1
