college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立成功大學,政治學系,國文,前標,5,英文,前標,3,數學B,均標,--,社會,前標,8,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、K、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分,1
東吳大學,政治學系,國文,均標,4,英文,後標,--,數學B,--,--,社會,後標,--,英社,--,3,*1.50,*1.50,*1.00,*1.50,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(H、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、數學B、社會之級分總和,1
國立政治大學,政治學系,國文,--,--,英文,均標,8,數學A,後標,--,數學B,均標,--,社會,均標,3,*1.00,*1.00,--,--,*1.00,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)、其他(R.小論文1篇、S.個人資料表) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測社會級分　四、學測國文級分,1
國立政治大學,外交學系,國文,前標,4,英文,頂標,3,數學A,均標,--,數學B,均標,--,社會,前標,5,*1.00,*1.00,--,--,--,20%,審查資料,--,20%,國際現勢筆試,--,10%,中英文口試,--,35%,,,,,,,一、中英文口試二、國際現勢筆試三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、N)、學習歷程自述(O、P)、其他(R.外交學系個人資料表) ,一、學測國文、英文、社會之級分總和　二、學測國文級分,1
東海大學,政治學系政治理論組,國文,--,--,英文,--,3,社會,均標,4,,,,,,,*1.75,*2.00,*2.00,,,35%,審查資料,--,35%,面試,--,35%,,,,,,,,,,一、學測英文級分二、學測社會級分三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、H、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測社會級分　四、學測國文級分,1
東海大學,政治學系國際關係組,國文,--,--,英文,後標,3,社會,均標,4,,,,,,,*1.75,*2.00,*2.00,,,35%,審查資料,--,35%,面試,--,35%,,,,,,,,,,一、學測英文級分二、學測社會級分三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、H、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測社會級分　四、學測國文級分,1
淡江大學,外交與國際關係學系全英語學士班,國文,--,5.0,英文,均標,3.0,社會,--,4.0,,,,,,,*1.00,*2.00,*1.50,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測國文級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和,1
中國文化大學,政治學系,國文,後標,3.0,英文,底標,3.0,,,,,,,,,,*1.50,*1.50,,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測國英級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、L、N)、學習歷程自述(O、P) ,一、學測國文、英文之級分總和　二、學測國文級分,1
國立臺灣海洋大學,海洋法政學士學位學程,國文,--,--,英文,前標,3,數學B,均標,10,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、學測國文級分四、面試,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和,1
國立中正大學,政治學系,國文,--,8,英文,前標,3,數學B,均標,--,社會,--,5,,,,*1.00,*1.00,--,*1.00,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和,1
