college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,數學系,英文,前標,--,數學A,頂標,3,自然,頂標,10,,,,,,,--,--,--,,,0%,審查資料,--,0%,數學筆試,--,55%,,,,,,,,,,一、數學筆試二、學測數學A級分三、學測英數A自級分總和四、審查資料,項目：修課紀錄(A)、課程學習成果(D)、多元表現(J、M、N)、學習歷程自述(O、P)、其他(R.具備完整高中數學能力、S.數學思考與證明的訓練) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分,1
國立臺灣師範大學,數學系,英文,均標,--,數學A,前標,3,自然,均標,--,英數A自,--,5,,,,*1.00,*2.00,*1.00,--,,20%,審查資料,--,20%,筆試一,--,25%,筆試二,--,20%,,,,,,,一、筆試一二、筆試二三、審查資料四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
國立成功大學,數學系,國文,後標,8.0,英文,均標,6.0,數學A,前標,3.0,自然,均標,6.0,國英數A自,--,4.0,*1.00,*1.33,*2.00,*1.33,--,10%,審查資料,--,10%,數學學科筆試,--,50%,,,,,,,,,,一、數學學科筆試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q)、其他(R.請參簡章審查資料說明) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
東吳大學,數學系,國文,--,--,數學A,均標,3,,,,,,,,,,*1.00,*2.00,,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測數學A級分二、面試三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(M、N)、學習歷程自述(O)、其他(R.其他有利審查項目) ,一、學測國文、數學A之級分總和,1
國立政治大學,應用數學系,英文,均標,--,數學A,前標,3,自然,--,--,,,,,,,*1.00,*2.00,*1.00,,,40%,審查資料,--,40%,筆試,--,35%,,,,,,,,,,一、筆試二、審查資料三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分,1
中原大學,應用數學系,英文,後標,--,數學A,後標,3,,,,,,,,,,*1.00,*2.00,,,,40%,審查資料,--,40%,面試,65分,20%,,,,,,,,,,一、學測數學A級分二、面試三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(G、H、J、N)、學習歷程自述(P、Q) ,一、學測英文、數學A之級分總和,1
東海大學,應用數學系,國文,--,--,英文,--,--,數學A,均標,5,國英數A,--,3,,,,*1.00,*1.50,*2.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測數學A級分四、學測國英數A級分總和,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、H、J、M、N)、學習歷程自述(O、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
國立清華大學,數學系甲組(數學組),英文,均標,5.0,數學A,頂標,3.0,自然,前標,5.0,,,,,,,--,--,--,,,0%,審查資料,--,0%,筆試(數學一),--,30%,筆試(數學二),--,25%,,,,,,,一、筆試(數學二)二、筆試(數學一)三、學測英數A自級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分,1
國立清華大學,數學系乙組(應用數學組),英文,前標,5.0,數學A,頂標,3.0,自然,前標,5.0,,,,,,,--,--,--,,,0%,審查資料,--,0%,筆試(數學一),--,30%,筆試(數學二),--,25%,,,,,,,一、筆試(數學二)二、筆試(數學一)三、學測英數A自級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分,1
國立陽明交通大學,應用數學系,英文,均標,8.0,數學A,前標,3.0,自然,均標,8.0,,,,,,,*1.00,*2.00,*1.00,,,20%,審查資料,--,20%,數學筆試,--,45%,,,,,,,,,,一、數學筆試二、審查資料三、學科能力測驗成績四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(P、Q)、其他(R.有利審查資料) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
