college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,日本語文學系,國文,前標,3,英文,前標,3,數學B,均標,--,社會,前標,4,國英數B社,--,5,*1.50,*1.50,*1.00,*1.50,--,50%,審查資料,--,50%,口試,--,30%,,,,,,,,,,一、口試二、學科能力測驗成績三、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
東吳大學,日本語文學系,國文,均標,4,英文,均標,3,社會,後標,--,,,,,,,*1.25,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、H、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、社會之級分總和,1
國立政治大學,日本語文學系,國文,前標,5.0,英文,頂標,3.5,社會,前標,4.0,,,,,,,*1.25,*1.50,*1.00,,,50%,審查資料,--,50%,面試,--,20%,小論文筆試,--,10%,,,,,,,一、面試二、審查資料三、小論文筆試四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.自傳1000 字以內) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
東海大學,日本語言文化學系,國文,--,3,英文,均標,5,社會,--,--,,,,,,,*1.50,*2.00,*1.00,,,35%,審查資料,--,35%,團體面試,--,35%,,,,,,,,,,一、學測國英社級分總和二、學測英文級分三、團體面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分,1
淡江大學,日本語文學系,國文,均標,6.0,英文,--,3.0,社會,--,9.0,,,,,,,*1.50,*1.50,*1.00,,,50%,審查資料,--,50%,團體面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、團體面試三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、L、M、N)、學習歷程自述(P、Q)、其他(R.高中預修二外專班證書) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
中國文化大學,日本語文學系,國文,後標,3,英文,--,--,社會,--,5,,,,,,,*1.50,*1.50,*1.50,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測社會級分,1
靜宜大學,日本語文學系,國文,均標,--,英文,--,--,社會,--,--,國社,--,3,,,,*1.50,*1.50,*1.00,--,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測國文級分二、學測社會級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、N)、學習歷程自述(O、P)、其他(R.其他有利審查資料) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
輔仁大學,日本語文學系,國文,均標,3.0,英文,均標,4.0,社會,均標,5.0,,,,,,,*1.50,*1.50,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測國文級分三、學測英文級分四、學測社會級分,項目：修課紀錄(A)、多元表現(F、H、J、L、N)、學習歷程自述(O、P) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
國立屏東大學,應用日語學系,國文,均標,7,英文,--,--,社會,--,--,,,,,,,*2.00,*1.00,*1.00,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、學測國文級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和,1
義守大學,應用日語學系,國文,後標,3.0,英文,--,6.0,,,,,,,,,,*2.00,*1.00,,,,30%,審查資料,--,30%,面試,--,20%,,,,,,,,,,一、審查資料二、學測國文級分三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
