college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,材料科學與工程學系,國文,頂標,3.0,英文,頂標,3.0,數學A,頂標,3.0,自然,頂標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,綜合筆試(B),--,25%,,,,,,,,,,一、學測國英數A自級分總和二、學科能力測驗成績三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、I、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立中興大學,材料科學與工程學系,國文,--,--,英文,均標,5,數學A,均標,3,自然,均標,3,,,,*1.00,*1.50,*1.50,*1.50,,50%,審查資料,--,50%,筆試,--,10%,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
國立成功大學,材料科學及工程學系,國文,--,--,英文,前標,--,數學A,前標,--,自然,前標,--,英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,筆試,--,10%,,,,,,,,,,一、審查資料二、筆試三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立清華大學,材料科學工程學系,英文,頂標,3.0,數學A,前標,3.0,自然,頂標,3.0,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,筆試,--,20%,,,,,,,,,,一、審查資料二、筆試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分,1
國立陽明交通大學,材料科學與工程學系,英文,均標,3.0,自然,均標,3.0,國英自,--,5.0,,,,,,,*1.00,*1.00,--,,,50%,審查資料,--,50%,團體面談及綜合筆試,--,10%,,,,,,,,,,一、學測自然級分二、學測英文級分三、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、I、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、自然之級分總和,1
逢甲大學,纖維與複合材料學系,國文,--,--,英文,後標,--,數學A,--,--,自然,--,--,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
逢甲大學,材料科學與工程學系,國文,--,--,英文,後標,--,數學A,--,--,自然,後標,5,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國英數A自級分總和二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
國立中山大學,材料與光電科學學系,英文,均標,5.0,數學A,前標,3.0,自然,前標,3.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、Q) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
長庚大學,化工與材料工程學系,國文,--,7.0,英文,均標,5.0,數學A,均標,5.0,自然,均標,3.0,,,,*1.00,*1.25,*1.50,*1.50,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測國英數A自級分總和二、學測自然級分三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、J、N)、學習歷程自述(O、P、Q)、其他(R.自傳含特質與利他經驗) ,一、學測國文、英文、數學A、自然之級分總和,1
國立臺南大學,材料科學系,英文,均標,--,數學A,均標,--,自然,均標,--,英數A自,--,3,,,,*1.50,*1.50,*2.00,--,,50%,審查資料,--,50%,團體面試,--,20%,,,,,,,,,,一、學測自然級分二、學測數學A級分三、審查資料四、團體面試,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、L、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
