college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,機械工程學系,國文,均標,3.0,英文,均標,3.0,數學A,前標,3.0,自然,前標,3.0,,,,*1.00,*1.00,*2.00,*2.00,,40%,審查資料,--,40%,綜合筆試(A),--,30%,,,,,,,,,,一、指定項目甄試成績二、審查資料三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(G、H、L、M、N)、學習歷程自述(P) ,一、學測國文、英文、數學A、自然之級分總和,1
國立臺灣大學,生物機電工程學系,國文,--,--,英文,均標,3,數學A,均標,3,自然,均標,3,國英數A自,--,4,*1.00,*1.00,*1.25,*1.25,--,50%,審查資料,--,50%,口試,--,25%,,,,,,,,,,一、學測國英數A自級分總和二、口試三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立臺灣師範大學,機電工程學系,國文,均標,--,英文,前標,6,數學A,前標,3.5,自然,前標,6,,,,*1.00,*1.50,*1.50,*1.50,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測數學A級分二、學測英文級分三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
國立中興大學,機械工程學系,國文,--,--,英文,均標,7,數學A,均標,3,自然,均標,3,,,,*1.00,*1.50,*2.00,*2.00,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學科能力測驗成績四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立中興大學,生物產業機電工程學系,英文,均標,10.0,數學A,均標,3.0,自然,均標,10.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分,1
國立成功大學,機械工程學系,國文,均標,--,英文,均標,5,數學A,前標,5,自然,均標,5,國英數A自,--,3,*1.00,*1.50,*1.50,*1.50,--,40%,審查資料,--,40%,認識本系與筆試,--,30%,,,,,,,,,,一、認識本系與筆試二、審查資料三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
中原大學,機械工程學系,國文,--,--,英文,--,--,數學A,--,4,自然,後標,4,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,20%,,,,,,,,,,一、學測國英數A自級分總和二、面試三、審查資料四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.自傳、S.其他有利審查項目) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分,1
國立陽明交通大學,機械工程學系,國文,前標,--,英文,均標,8,數學A,前標,8,自然,前標,8,國英數A自,--,3,--,*1.00,*2.00,*2.00,--,50%,審查資料,--,50%,認識本系及綜合筆試,--,15%,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
淡江大學,機械與機電工程學系光機電整合組,國文,--,3,英文,--,3,數學A,後標,--,數學B,均標,--,自然,--,--,*1.00,*1.00,--,--,*1.00,25%,審查資料,--,25%,團體面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、團體面試三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、N)、學習歷程自述(P、Q)、其他(R.自傳) ,一、學測國文、英文、自然之級分總和,1
淡江大學,機械與機電工程學系精密機械組,國文,--,3,英文,--,3,數學A,後標,--,數學B,均標,--,自然,--,--,*1.00,*1.00,--,--,*1.00,25%,審查資料,--,25%,團體面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、團體面試三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、N)、學習歷程自述(P、Q)、其他(R.自傳) ,一、學測國文、英文、自然之級分總和,1
