college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,歷史學系,國文,前標,3,英文,前標,3,數學B,均標,--,社會,前標,3,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,口試,80分,20%,,,,,,,,,,一、口試二、審查資料三、學科能力測驗成績四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
國立臺灣師範大學,歷史學系,國文,前標,5,英文,前標,4,數學B,--,--,社會,前標,3,國英社,--,6,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,,,,,,,,,,,,,一、審查資料二、學科能力測驗成績三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測社會級分　三、學測國文級分　四、學測英文級分,1
國立中興大學,歷史學系,國文,前標,5.0,英文,均標,5.0,社會,前標,3.0,,,,,,,*1.25,*1.00,*1.50,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測社會級分三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分,1
國立成功大學,歷史學系,國文,前標,5.0,英文,前標,4.0,社會,前標,3.0,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、L、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分　四、學測英文級分,1
東吳大學,歷史學系,國文,底標,--,英文,底標,5,社會,底標,--,國社,--,3,,,,*2.00,*1.50,*2.00,--,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測社會級分三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、K、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、社會之級分總和,1
國立政治大學,歷史學系,國文,前標,6.0,英文,前標,5.0,社會,前標,3.0,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
東海大學,歷史學系,國文,--,--,英文,--,--,社會,均標,3,,,,,,,*1.00,*1.00,*2.00,,,10%,審查資料,--,10%,面試,--,40%,,,,,,,,,,一、審查資料二、面試三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分,1
淡江大學,歷史學系,國文,--,5.0,社會,均標,3.0,,,,,,,,,,*1.50,*1.50,,,,35%,審查資料,--,35%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和　二、學測社會級分,1
中國文化大學,史學系,國文,--,--,英文,--,--,社會,底標,3,,,,,,,*2.00,*1.00,*2.00,,,40%,審查資料,--,40%,,,,,,,,,,,,,一、審查資料二、學測社會級分三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分,1
輔仁大學,歷史學系,國文,底標,6.0,英文,底標,5.0,社會,底標,3.0,,,,,,,*1.00,*1.00,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、指定項目甄試成績二、面試三、審查資料四、學測國英社級分總和,項目：修課紀錄(A)、課程學習成果(B、E)、學習歷程自述(P)、其他(R.其他有利審查資料) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分　四、學測英文級分,1
國立東華大學,歷史學系,國文,均標,--,英文,--,3,社會,--,6,,,,,,,*1.00,*1.50,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測社會級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(G、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分,1
