college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,物理學系,國文,前標,--,英文,前標,--,數學A,頂標,3,自然,頂標,6,,,,--,--,--,--,,0%,審查資料,60分,0%,物理筆試,30分,32%,數學筆試,30分,23%,,,,,,,一、物理筆試二、數學筆試三、審查資料,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
國立臺灣師範大學,物理學系,英文,--,--,數學A,--,3,自然,前標,4,,,,,,,*1.00,*1.00,*2.00,,,30%,審查資料,--,30%,物理測驗,--,40%,,,,,,,,,,一、物理測驗二、學測數學A級分三、學測自然級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立中興大學,物理學系一般物理組,英文,均標,3,數學A,前標,6,自然,前標,--,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,物理筆試,--,30%,,,,,,,,,,一、學測數學A級分二、學測英文級分三、物理筆試四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、K、M、N)、其他(R.自述(300字內)、S.其他有利審查項目) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
國立中興大學,物理學系光電物理組,英文,均標,3.5,數學A,前標,6,自然,前標,--,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,物理筆試,--,30%,,,,,,,,,,一、學測數學A級分二、學測英文級分三、物理筆試四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、K、M、N)、其他(R.自述(300字內)、S.其他有利審查項目) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
國立成功大學,物理學系,國文,均標,--,英文,前標,--,數學A,前標,--,自然,前標,3,,,,--,--,*1.00,*1.00,,35%,審查資料,--,35%,筆試,--,35%,,,,,,,,,,一、筆試二、學測英文級分三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、J、K、N)、學習歷程自述(P) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
東吳大學,物理學系,英文,--,5.0,數學A,底標,3.0,自然,底標,4.0,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,物理學科筆試,--,20%,觀察報告,--,20%,,,,,,,一、觀察報告二、物理學科筆試三、學科能力測驗成績四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、M、N)、學習歷程自述(O、P)、其他(R.其他有利審查項目) ,一、學測英文、數學A、自然之級分總和,1
東海大學,應用物理學系,國文,--,--,英文,後標,--,數學A,--,--,國英數A,--,3,,,,*1.00,*1.00,*1.00,--,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測數學A級分二、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分,1
淡江大學,物理學系光電物理組,英文,後標,3.0,數學A,均標,5.0,自然,後標,4.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測數學A級分三、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
淡江大學,物理學系應用物理組,英文,後標,3.0,數學A,均標,5.0,自然,後標,4.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測數學A級分三、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
國立中央大學,物理學系,國文,均標,--,英文,均標,--,數學A,均標,6,自然,均標,3,,,,*1.00,*1.00,*1.50,*1.50,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測自然級分三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、I、J、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學A、自然之級分總和,1
