college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,生物環境系統工程學系,國文,前標,--,英文,前標,10,數學A,頂標,3,自然,頂標,6,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,口試,--,40%,,,,,,,,,,一、學測國文級分二、學測英文級分三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測國文級分　三、學測英文級分　四、學測自然級分,1
國立中興大學,環境工程學系,國文,均標,9.0,英文,均標,9.0,數學A,均標,3.0,自然,均標,3.0,,,,*1.00,*1.00,*1.50,*1.50,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、H、I、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
國立成功大學,環境工程學系,國文,均標,3.0,英文,前標,5.0,數學A,前標,4.0,自然,前標,4.0,國英數A自,--,6.0,*1.00,*1.00,*1.50,*1.50,--,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
中原大學,環境工程學系,國文,--,--,英文,後標,--,數學A,--,--,自然,--,--,國英自,--,3,*1.00,*1.00,*1.00,*2.00,--,30%,審查資料,--,30%,面試,60分,30%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(G、H、L、M、N)、學習歷程自述(P) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分,1
東海大學,環境科學與工程學系,國文,--,--,英文,--,4,數學A,--,5,自然,後標,3,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,團體面試,--,20%,,,,,,,,,,一、學測國英數A自級分總和二、學測自然級分三、審查資料四、團體面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
淡江大學,水資源及環境工程學系環境工程組,國文,--,3.0,數學A,--,3.0,自然,後標,3.0,,,,,,,*2.00,*1.00,*2.00,,,40%,審查資料,--,40%,團體面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、學測自然級分三、學測數學A級分四、團體面試,項目：修課紀錄(A)、課程學習成果(D)、多元表現(G、L、M、N)、學習歷程自述(O、Q) ,一、學測國文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分,1
逢甲大學,環境工程與科學學系,國文,--,--,英文,--,--,數學A,--,--,自然,後標,5,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學測國英數A自級分總和四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)、其他(R.國內外交流或研習經驗、S.環保時事評析短文、T.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
國立高雄大學,土木與環境工程學系環境工程組,國文,均標,--,數學A,均標,--,自然,均標,--,國數A自,--,3,,,,*1.00,*1.00,*1.00,--,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測國數A自級分總和二、學測數學A級分三、學測自然級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.思考及解決問題之經驗、S.其他有利審查項目) ,一、學測國文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
國立宜蘭大學,環境工程學系,國文,--,--,英文,--,5,數學A,後標,3,自然,後標,4,,,,*1.00,*1.00,*1.50,*1.50,,20%,審查資料,--,20%,口試,--,30%,,,,,,,,,,一、審查資料二、學科能力測驗成績三、口試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
國立聯合大學,環境與安全衛生工程學系,國文,--,--,英文,--,--,數學A,後標,3,自然,--,3,,,,*1.00,*1.00,*2.00,*2.00,,50%,審查資料,60分,50%,團體訪談與認識本系,60分,10%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q)、其他(R.非修課之各類實作作品) ,一、學測國文、英文、數學A、自然之級分總和,1
