college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,生命科學系,國文,前標,--,英文,--,3,數學A,前標,--,自然,--,3,國英數A自,--,5,*1.00,*1.00,*1.00,*1.00,--,20%,審查資料,--,20%,筆試,--,25%,口試,70分,20%,,,,,,,一、筆試二、學測自然級分三、學測英文級分四、學測國英數A自級分總和,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立臺灣師範大學,生命科學系,國文,均標,--,英文,均標,--,數學A,均標,--,自然,--,3,國英數A自,--,10,--,--,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、J、K、L、N) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
國立中興大學,生命科學系,英文,均標,8.0,數學A,均標,10.0,自然,前標,3.0,,,,,,,*1.00,*1.00,*1.25,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英數A自級分總和二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分,1
國立成功大學,生命科學系,國文,均標,--,英文,均標,5,數學A,均標,4,自然,前標,3,,,,--,*1.00,*1.00,*2.00,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、指定項目甄試成績二、面試三、學測自然級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分,1
東吳大學,微生物學系,國文,--,--,英文,後標,3,自然,後標,10,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、M、N)、學習歷程自述(O、P)、其他(R.其他有利審查項目) ,一、學測國文、英文、自然之級分總和,1
高雄醫學大學,生物醫學暨環境生物學系,國文,後標,--,英文,均標,8,數學A,後標,--,自然,均標,3,,,,*1.00,*1.25,*1.00,*1.50,,40%,審查資料,--,40%,面試,60分,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
高雄醫學大學,生命科學院學士班,英文,底標,8,數學A,--,--,自然,均標,3,,,,,,,*1.25,*1.00,*1.50,,,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
東海大學,生命科學系生物醫學組,國文,--,--,英文,--,5,自然,均標,3,,,,,,,*1.00,*1.50,*1.25,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、審查資料二、學測自然級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分,1
國立清華大學,生命科學系,英文,前標,5,數學A,前標,3,自然,前標,--,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,面談,--,10%,筆試,--,10%,,,,,,,一、審查資料二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
國立清華大學,生命科學院學士班,國文,前標,--,英文,前標,--,數學A,前標,--,自然,頂標,--,國英數A自,--,3,--,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面談,--,10%,,,,,,,,,,一、審查資料二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
