college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立中興大學,生物科技學士學位學程,國文,均標,--,英文,均標,10,數學A,均標,--,自然,前標,7,國英數A自,--,3,*1.00,*1.50,*1.00,*1.50,--,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學科能力測驗成績二、學測自然級分三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、K、M、N)、學習歷程自述(P) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
國立成功大學,生物科技與產業科學系,國文,均標,12.0,英文,均標,8.0,自然,前標,3.0,,,,,,,*1.00,*1.00,*2.00,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
高雄醫學大學,生物科技學系,英文,--,7,數學A,--,--,自然,均標,3,,,,,,,*1.25,*1.00,*1.50,,,40%,審查資料,--,40%,面試,60分,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分,1
中原大學,生物科技學系,英文,後標,4.0,自然,均標,3.0,,,,,,,,,,*1.50,*2.00,,,,40%,審查資料,--,40%,面試,60分,20%,,,,,,,,,,一、學測英自級分總和二、學測英文級分三、學測自然級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳、S.其他有利審查資料) ,一、學測英文、自然之級分總和　二、學測英文級分,1
國立清華大學,醫學科學系,國文,前標,--,英文,前標,5,數學A,前標,10,自然,前標,3,,,,--,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,口試,--,20%,,,,,,,,,,一、學測國英數A自級分總和二、口試三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
中國醫藥大學,生物科技學系,國文,--,--,英文,後標,3,自然,後標,8,,,,,,,*1.00,*1.50,*1.50,,,30%,審查資料,--,30%,面談,--,35%,,,,,,,,,,一、面談二、學測國文級分三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(H、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和　二、學測國文級分　三、學測自然級分　四、學測英文級分,1
國立臺灣海洋大學,海洋生物科技學士學位學程,國文,--,--,英文,後標,7,數學A,--,--,自然,後標,3.5,,,,*1.00,*1.00,*1.00,*1.25,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學科能力測驗成績二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(G、J、K、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
國立高雄師範大學,生物科技系,國文,--,--,英文,均標,--,數學A,--,--,自然,均標,3,,,,*1.00,*1.25,*1.00,*2.00,,30%,審查資料,--,30%,生物科能力檢定,--,40%,,,,,,,,,,一、生物科能力檢定二、審查資料三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、L、M、N)、學習歷程自述(P、Q)、其他(R.有利於審查之資料) ,一、學測國文、英文、數學A、自然之級分總和,1
中山醫學大學,生物醫學科學學系,國文,--,--,英文,--,--,數學A,後標,--,數學B,均標,--,自然,均標,3,*1.00,*1.50,--,--,*2.00,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分,1
國立臺南大學,生物科技學系,國文,--,7,英文,--,--,數學A,--,--,自然,底標,4.5,,,,*1.50,*1.00,*1.00,*2.00,,30%,審查資料,70分,30%,面試,70分,40%,,,,,,,,,,一、面試二、學測自然級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、K、N)、學習歷程自述(O、P、Q)、其他(R.科學科技聽講紀錄證明、S.科學技術短期訓練證明) ,一、學測國文、英文、數學A、自然之級分總和　二、學測國文級分　三、學測自然級分　四、學測英文級分,1
南華大學,自然生物科技學系,自然,底標,3.0,,,,,,,,,,,,,*1.00,,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、G、I、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測自然級分,1
國立嘉義大學,生物農業科技學系,國文,--,--,英文,底標,--,自然,底標,--,國英自,--,3,,,,*1.00,*1.50,*1.50,--,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測自然級分二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
慈濟大學,分子生物暨人類遺傳學系,國文,--,--,英文,--,--,自然,後標,3,,,,,,,*1.00,*2.00,*2.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和,1
