college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,醫學工程學系,國文,前標,3.0,英文,頂標,3.0,數學A,頂標,3.0,自然,頂標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,綜合筆試(B),--,25%,,,,,,,,,,一、指定項目甄試成績二、學科能力測驗成績三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立成功大學,生物醫學工程學系,國文,--,--,英文,前標,--,數學A,前標,--,自然,前標,--,英數A自,--,3,*1.00,*1.50,*1.50,*1.50,--,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測自然級分三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分,1
中原大學,生物醫學工程學系,英文,後標,--,數學A,後標,3,自然,後標,3,,,,,,,*1.00,*2.00,*2.00,,,40%,審查資料,--,40%,面試,60分,20%,,,,,,,,,,一、學測數學A級分二、學測自然級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、H、J、L、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分,1
國立清華大學,生醫工程與環境科學系,英文,前標,3.0,數學A,前標,3.0,自然,前標,3.0,,,,,,,*1.00,*1.25,*1.25,,,50%,審查資料,--,50%,筆試,--,10%,,,,,,,,,,一、審查資料二、筆試三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P) ,一、學測英文、數學A、自然之級分總和,1
中國醫藥大學,生物醫學工程學系,英文,後標,--,數學A,後標,3,自然,後標,8,,,,,,,--,*1.00,*1.00,,,40%,審查資料,--,40%,面談,--,30%,,,,,,,,,,一、學測數學A級分二、學測自然級分三、面談四、審查資料,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、G、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分　四、學測自然級分,1
國立陽明交通大學,生物醫學工程學系,國文,--,3.0,英文,--,3.0,數學A,均標,3.0,自然,均標,3.0,,,,*1.00,*1.00,*1.25,*1.25,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學測英文級分四、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、K、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立中央大學,生醫科學與工程學系,英文,前標,4.0,數學A,前標,3.0,自然,前標,3.0,,,,,,,*1.50,*1.00,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、指定項目甄試成績二、面試,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、I、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
長庚大學,生物醫學工程學系,英文,均標,5.0,數學A,均標,3.0,自然,均標,3.0,英數A自,--,10.0,,,,*1.50,--,*1.50,--,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測英文級分三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測英文、數學A、自然之級分總和,1
大葉大學,醫學工程學系,國文,--,20.0,數學A,底標,3.0,,,,,,,,,,*1.50,*2.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、指定項目甄試成績二、面試三、審查資料四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P、Q)、其他(R.可附有利於審查之資料) ,一、學測國文、數學A之級分總和　二、學測數學A級分,1
義守大學,生物醫學工程學系,國文,--,--,英文,--,--,自然,後標,3,,,,,,,*1.75,*2.00,*2.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測國文級分三、學測自然級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、自然之級分總和　二、學測國文級分　三、學測自然級分　四、學測英文級分,1
臺北醫學大學,生物醫學工程學系,國文,--,--,英文,均標,10,數學A,均標,8,自然,均標,5,數A自,--,3,*1.00,*1.00,*1.50,*1.50,--,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測自然級分二、學測英文級分三、面試四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、G、H、J、N) ,一、學測國文、英文、數學A、自然之級分總和,1
