college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,社會學系,國文,前標,3,英文,前標,3,數學B,均標,--,社會,前標,3,,,,*1.00,*1.00,--,*1.00,,20%,審查資料,--,20%,口試,70分,40%,,,,,,,,,,一、口試二、審查資料三、學測國英數B社級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
東吳大學,社會學系,國文,均標,3,英文,後標,--,數學B,--,--,社會,均標,--,,,,*1.50,*1.50,*1.00,*1.50,,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、面試二、學測英文級分三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、數學B、社會之級分總和,1
國立政治大學,社會學系,國文,前標,3,英文,前標,6,數學A,均標,--,數學B,均標,--,社會,前標,7,*1.00,*1.00,--,--,*1.00,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、審查資料二、面試三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q)、其他(R.自傳) ,一、學測國文、英文、社會之級分總和　二、學測英文級分,1
東海大學,社會學系,國文,--,3.0,英文,--,3.0,社會,均標,3.0,,,,,,,*1.50,*1.50,*2.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國英社級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
國立清華大學,人文社會學院學士班,國文,前標,--,英文,前標,--,數學B,均標,--,社會,前標,--,國英數B社,--,3,*1.00,*1.00,*1.00,*1.00,--,30%,審查資料,--,30%,口試,--,40%,,,,,,,,,,一、口試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、K、M、N)、學習歷程自述(P) ,一、學測國文、英文、數學B、社會之級分總和,1
輔仁大學,社會學系,國文,均標,--,英文,均標,--,數學B,--,--,社會,均標,--,國英社,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測英文級分二、學測國文級分三、學測數學B級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和,1
國立中山大學,社會學系,英文,均標,3,數學B,--,--,社會,均標,3,,,,,,,*2.00,*1.00,*2.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測社會級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、J、M、N) ,一、學測英文、數學B、社會之級分總和　二、學測社會級分　三、學測英文級分,1
國立東華大學,社會學系,國文,均標,4,英文,--,--,社會,均標,10,,,,,,,*1.00,*1.00,*1.50,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測社會級分三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分,1
國立屏東大學,社會發展學系,國文,--,--,英文,--,--,社會,均標,--,國英社,--,3,,,,*1.00,*1.00,*1.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、指定項目甄試成績三、學測社會級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測英文級分　四、學測國文級分,1
元智大學,社會暨政策科學學系,英文,--,4.0,數學B,--,3.0,社會,後標,5.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、審查資料三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、I、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學B、社會之級分總和　二、學測社會級分　三、學測英文級分,1
