college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立中興大學,景觀與遊憩學士學位學程,國文,均標,5.0,英文,均標,5.0,數學A,均標,10.0,國英數A,--,4.0,,,,*1.00,*1.50,*1.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測數學A級分二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.作品集) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分,1
中原大學,室內設計學系,國文,均標,4,英文,均標,--,社會,--,--,國英社,--,3,,,,*1.00,*2.00,*1.00,--,,25%,審查資料,--,25%,設計,60分,10%,面試,60分,25%,,,,,,,一、面試二、學科能力測驗成績三、審查資料四、設計,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分,1
中原大學,地景建築學系,國文,均標,3,英文,均標,--,數學A,後標,--,數學B,後標,--,,,,*1.00,--,--,--,,20%,審查資料,60分,20%,設計與繪畫,60分,20%,面試,60分,20%,,,,,,,一、審查資料二、設計與繪畫三、面試四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、I、K、M、N)、學習歷程自述(O、P)、其他(R.社會人文相關觀察紀錄、S.自然生態相關觀察紀錄、T.地方經營相關觀察紀錄) ,一、學測國文、英文之級分總和　二、學測英文級分,1
東海大學,景觀學系,國文,後標,3.0,英文,--,3.0,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
中國文化大學,景觀學系,國文,--,--,英文,後標,3,社會,--,--,自然,--,--,,,,*1.00,*2.00,*1.00,*2.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績四、學測自然級分,項目：修課紀錄(A)、課程學習成果(C、D、E)、多元表現(F、G、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會、自然之級分總和,1
輔仁大學,景觀設計學系,國文,後標,--,英文,後標,--,社會,後標,--,國英社,--,3,,,,*1.00,*1.50,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測國英社級分總和三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和,1
中華大學,景觀建築學系景觀設計組,國文,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、學測國文級分三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、I、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文級分,1
華梵大學,智慧生活設計學系空間設計組,國文,底標,3.0,,,,,,,,,,,,,*1.00,,,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談,項目：修課紀錄(A)、課程學習成果(C)、多元表現(G、N)、學習歷程自述(Q) ,一、學測國文級分,1
國立嘉義大學,景觀學系,國文,均標,--,數學B,均標,--,社會,--,--,自然,--,--,國數B社自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測國文級分二、學測自然級分三、學測社會級分四、面試,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、數學B、社會、自然之級分總和　二、學測國文級分　三、學測自然級分　四、學測社會級分,1
明道大學,景觀與環境設計學系,國文,--,--,英文,--,--,數學B,底標,3,,,,,,,*1.00,*2.00,*1.00,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(E)、多元表現(G、H、I、N)、學習歷程自述(O) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分,1
