college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,農業經濟學系,國文,前標,--,英文,前標,4,數學A,前標,3,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,口試,--,35%,,,,,,,,,,一、學科能力測驗成績二、口試三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測國文級分,1
國立中興大學,應用經濟學系,國文,均標,--,英文,均標,3,數學A,均標,5,國英數A,--,10,英聽,B級,--,*1.00,*2.00,*1.50,--,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分,1
國立成功大學,經濟學系,國文,均標,3.0,英文,均標,5.0,數學A,均標,6.0,,,,,,,*1.00,*1.25,*1.25,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
東吳大學,經濟學系,國文,--,--,英文,後標,4,數學B,均標,3,,,,,,,*1.00,*1.00,*2.00,,,50%,審查資料,--,50%,經濟筆試,--,25%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學測國文級分四、經濟筆試,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、L、N)、學習歷程自述(O、P、Q)、其他(R.本系自訂個人資料表、S.其他有利審查項目) ,一、學測國文、英文、數學B之級分總和,1
國立政治大學,經濟學系,英文,前標,3,數學A,前標,--,社會,--,--,數A社,--,6,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學測英數A社級分總和三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、社會之級分總和　二、學測數學A級分　三、學測英文級分　四、學測社會級分,1
東海大學,經濟學系一般經濟組,國文,--,--,英文,後標,3,數學A,--,6,,,,,,,*1.00,*1.50,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學測國文級分,項目：修課紀錄(A)、多元表現(F、L、N) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測數學A級分　四、學測國文級分,1
東海大學,經濟學系產業經濟組,國文,--,--,英文,後標,3,數學A,--,6,,,,,,,*1.00,*1.50,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學測國文級分,項目：修課紀錄(A)、多元表現(F、L、N) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測數學A級分　四、學測國文級分,1
國立清華大學,經濟學系,國文,前標,3,英文,前標,3,數學A,前標,3,英聽,B級,--,,,,*1.00,*1.00,*1.00,--,,50%,審查資料,--,50%,互動式座談與評量,--,10%,,,,,,,,,,一、審查資料二、學測數學A級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分,1
淡江大學,產業經濟學系,國文,--,3.0,英文,--,3.0,數學B,後標,3.0,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、面試四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、L、M、N)、學習歷程自述(O、P)、其他(R.有利於審查之說明) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
淡江大學,經濟學系,國文,--,3,英文,--,3,數學B,後標,3,社會,--,--,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測數學B級分,1
逢甲大學,經濟學系,國文,--,--,英文,後標,3,數學B,後標,5,,,,,,,*1.00,*2.00,*2.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學測國文級分四、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
國立中央大學,經濟學系,國文,均標,10.0,英文,均標,10.0,數學B,前標,3.0,,,,,,,*1.25,*2.00,*2.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和,1
中國文化大學,經濟學系,國文,底標,--,英文,--,5,數學B,--,3,社會,--,--,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學科能力測驗成績四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
輔仁大學,經濟學系,英文,均標,3,數學B,均標,3,社會,--,--,,,,,,,*2.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學測社會級分四、審查資料,項目：修課紀錄(A)、多元表現(L、M、N)、學習歷程自述(P、Q)、其他(R.個人資料表、S.其他有利於審查之資料) ,一、學測英文、數學B、社會之級分總和　二、學測數學B級分　三、學測英文級分　四、學測社會級分,1
國立東華大學,經濟學系,英文,--,4.0,數學B,均標,3.0,,,,,,,,,,*1.00,*1.00,,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、指定項目甄試成績四、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學B之級分總和　二、學測數學B級分,1
國立中正大學,經濟學系,國文,均標,5.0,英文,均標,4.0,數學B,前標,3.0,,,,,,,*1.00,*1.50,*2.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分,1
世新大學,經濟學系,國文,--,--,英文,--,--,數學B,底標,3,,,,,,,*1.00,*1.50,*1.50,,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和,1
國立暨南國際大學,經濟學系,英文,--,--,數學B,均標,--,英數B,--,3,,,,,,,*1.00,*1.00,--,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、審查資料二、學測數學B級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P) ,一、學測英文、數學B之級分總和,1
真理大學,經濟學系,國文,--,--,英文,--,--,社會,底標,3,,,,,,,*1.00,*1.00,*1.00,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、學測社會級分二、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、H、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分　四、學測英文級分,1
國立臺北大學,經濟學系,國文,均標,--,英文,均標,4,數學A,均標,3,社會,均標,--,國英數A社,--,5,*1.00,*1.50,*1.50,*1.00,--,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測國英數A社級分總和二、學測數學A級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助於審查之資料) ,一、學測國文、英文、數學A、社會之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
國立嘉義大學,應用經濟學系,國文,後標,20.0,英文,後標,10.0,數學B,均標,3.0,,,,,,,*1.00,*1.00,*1.50,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學B級分二、學測英文級分三、指定項目甄試成績四、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、L、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
國立高雄大學,應用經濟學系,國文,均標,--,英文,均標,6,數學B,均標,3,,,,,,,*1.00,*1.50,*1.50,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學科能力測驗成績三、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和,1
國立宜蘭大學,應用經濟與管理學系,國文,--,--,英文,均標,3,數學B,--,--,社會,--,--,國數B社,--,4.5,*1.00,*2.00,*1.00,*1.00,--,30%,審查資料,--,30%,口試,--,40%,,,,,,,,,,一、口試二、學科能力測驗成績三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和,1
