college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣師範大學,美術學系繪畫組,國文,--,--,英文,--,--,社會,--,--,國英社,--,6,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,口試,--,15%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、J、N)、學習歷程自述(P、Q)、其他(R.個人創作成果作品集) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
國立臺灣師範大學,美術學系水墨畫組,國文,--,--,英文,--,--,社會,--,--,國英社,--,6,,,,*1.00,*1.00,*1.00,--,,30%,審查資料,--,30%,口試,--,15%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、J、N)、學習歷程自述(P、Q)、其他(R.個人創作成果作品集) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
東海大學,美術學系,國文,均標,3,英文,--,--,社會,--,--,,,,,,,*1.50,*1.50,*1.00,,,20%,審查資料,--,20%,面試,--,30%,,,,,,,,,,素描,項目：修課紀錄(A)、學習歷程自述(O、P、Q)、其他(R.作品集) ,一、學測國文、英文、社會之級分總和,1
中國文化大學,美術學系,國文,--,15,英文,--,--,社會,--,--,,,,,,,*1.00,*1.00,*1.00,,,36%,審查資料,--,36%,,,,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立高雄師範大學,美術學系,國文,--,--,英文,--,--,社會,--,--,國英社,--,5,,,,*1.00,*1.00,*1.00,--,,20%,審查資料,--,20%,,,,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、J、K、M、N)、學習歷程自述(P) ,一、學測國文、英文、社會之級分總和,1
國立彰化師範大學,美術學系,國英社,--,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,40%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C、E)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表、S.個人作品集光碟) ,一、學測國文、英文、社會之級分總和　二、學測國文級分,1
國立臺中教育大學,美術學系,國文,後標,12,英文,--,--,社會,--,--,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,15%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(P) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
國立臺南大學,視覺藝術與設計學系,國文,--,3.0,英文,--,3.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,,,,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C)、多元表現(J、N)、學習歷程自述(Q) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
華梵大學,美術與文創學系美術創作組,國文,--,8.0,英文,--,5.0,社會,--,7.0,,,,,,,*1.00,*1.00,*1.00,,,20%,審查資料,--,20%,面談,--,40%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C)、多元表現(J、K、M、N)、學習歷程自述(Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
華梵大學,佛教藝術學系,國文,底標,10.0,,,,,,,,,,,,,*1.00,,,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、I、N)、學習歷程自述(P、Q) ,一、學測國文級分,1
國立臺灣藝術大學,美術學系,國文,--,5.0,英文,--,5.0,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,60分,20%,面試,60分,20%,原作審查,60分,20%,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,1
國立臺灣藝術大學,書畫藝術學系,國文,後標,--,英文,底標,--,社會,後標,--,,,,,,,*1.50,*1.00,*1.50,,,20%,審查資料,--,20%,面試及原作審查,--,30%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(J、K、N)、學習歷程自述(P、Q)、其他(R.作品集) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分　四、學測英文級分,1
國立臺灣藝術大學,雕塑學系,國文,--,--,英文,--,--,社會,--,--,,,,,,,*1.50,*1.00,*1.50,,,25%,審查資料,75分,25%,塑造,75分,30%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
國立嘉義大學,視覺藝術學系,國文,後標,8.0,英文,底標,3.0,社會,後標,5.0,,,,,,,*2.00,*2.00,*1.00,,,20%,審查資料,--,20%,面試,--,20%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C、E)、學習歷程自述(P、Q)、其他(R.作品集) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分　四、學測英文級分,1
