college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣師範大學,設計學系產品設計組,國文,均標,--,英文,均標,--,數學A,均標,--,自然,均標,--,國英數A自,--,5,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,口試,--,15%,設計素描,--,10%,,,,,,,一、指定項目甄試成績二、學測國英數A自級分總和三、口試四、審查資料,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P)、其他(R.成果作品集乙冊) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學A級分,1
國立臺灣師範大學,設計學系視覺設計組,國文,--,--,英文,--,--,國英社,--,6,,,,,,,*1.00,*1.00,--,,,35%,審查資料,--,35%,口試,--,15%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P)、其他(R.成果作品集乙冊) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
國立清華大學,藝術與設計學系設計組,國文,--,--,英文,--,--,,,,,,,,,,*1.50,*1.00,,,,15%,審查資料,--,15%,面試,70分,40%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分,1
國立清華大學,藝術與設計學系創作組,國文,--,--,英文,--,--,,,,,,,,,,*1.50,*1.00,,,,15%,審查資料,--,15%,面試,70分,40%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分,1
輔仁大學,應用美術學系,國文,--,--,英文,--,4.5,數學B,--,--,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,15%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C)、多元表現(G、J、K、M、N)、學習歷程自述(O、P)、其他(R.「設計與我」寫作) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分,1
國立臺灣海洋大學,海洋文創設計產業學士學位學程,國文,均標,6,英文,後標,8,社會,後標,--,國英數B社,--,3.5,,,,*2.00,*1.00,*1.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測國文級分二、學測英文級分三、學測社會級分四、學測國英數B社級分總和,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和,1
國立高雄師範大學,視覺設計學系,國文,--,--,英文,--,--,國英,--,6,,,,,,,*1.00,*1.00,--,,,35%,審查資料,--,35%,,,,,,,,,,,,,素描,項目：多元表現(F、J、L、N)、學習歷程自述(P、Q)、其他(R.設計作品集乙冊) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
國立臺北藝術大學,劇場設計學系,國文,均標,5.0,英文,均標,6.0,,,,,,,,,,*1.00,*1.00,,,,40%,審查資料,--,40%,面試,75分,40%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)、其他(R.藝術或其他領域之作品) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
國立臺北藝術大學,新媒體藝術學系,英文,後標,8,數學A,後標,--,數學B,均標,--,自然,均標,12,,,,*1.00,--,--,*2.00,,50%,審查資料,--,50%,面試,70分,25%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(C)、多元表現(J、K、N)、學習歷程自述(P、Q)、其他(R.藝術或科技相關成果) ,一、學測英文、自然之級分總和　二、學測自然級分　三、學測英文級分,1
國立臺北教育大學,藝術與造形設計學系設計組,國文,均標,--,英文,均標,--,數學B,均標,--,國英數B,--,3,,,,*1.00,*1.50,*1.00,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學測國英數B級分總和二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
國立臺北教育大學,藝術與造形設計學系藝術組,國文,均標,--,英文,後標,--,數學B,後標,--,社會,均標,--,國英數B社,--,3,*1.50,*1.50,*1.00,*1.00,--,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、J、K、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
