college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立政治大學,公共行政學系,國文,前標,4,英文,前標,3,數學A,均標,--,數學B,前標,--,社會,前標,5,*1.00,*1.50,--,--,*1.00,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學測英文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分,1
東海大學,行政管理暨政策學系,國文,--,--,社會,均標,--,國社,--,3,,,,,,,*2.00,*1.50,--,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測社會級分二、學測國文級分三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、H、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和　二、學測社會級分　三、學測國文級分,1
淡江大學,公共行政學系,國文,--,3.0,英文,--,3.0,社會,後標,3.0,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績四、學測社會級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、I、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測英文級分　四、學測國文級分,1
中國文化大學,行政管理學系,國文,--,--,英文,--,3,社會,底標,3,,,,,,,*2.00,*2.00,*1.50,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學科能力測驗成績二、學測國文級分三、學測社會級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、H、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立彰化師範大學,公共事務與公民教育學系公共事務組,國文,前標,--,英文,前標,6,數學B,均標,--,社會,前標,5,國英數B社,--,8,*1.25,*1.25,*1.00,*2.00,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分,1
國立中山大學,政治經濟學系,國文,--,--,英文,均標,3,數學A,均標,5,,,,,,,*1.00,*1.50,*1.50,,,40%,審查資料,--,40%,面試,--,20%,筆試,--,10%,,,,,,,一、面試二、學科能力測驗成績三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測數學A級分　四、學測國文級分,1
國立臺南大學,行政管理學系,國文,均標,--,英文,均標,--,數學B,--,--,社會,--,--,國英數B社,--,3,*1.25,*1.25,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、面試三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、K、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,1
國立東華大學,公共行政學系,國文,--,8,英文,--,--,社會,均標,6,國英社,--,4,,,,*1.50,*1.00,*1.25,--,,40%,審查資料,--,40%,,,,,,,,,,,,,一、學測國文級分二、學測社會級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測英文級分,1
臺北市立大學,社會暨公共事務學系,國文,均標,7.0,英文,均標,5.0,社會,均標,3.5,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、指定項目甄試成績二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和,1
國立臺東大學,公共與文化事務學系,國文,後標,4.0,社會,後標,3.0,,,,,,,,,,*1.00,*2.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學科能力測驗成績二、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、社會之級分總和,1
