college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立中興大學,行銷學系,國文,前標,3,英文,前標,5,數學A,前標,--,數學B,前標,--,英聽,B級,--,*1.00,*2.00,--,--,--,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、學測國文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,1
逢甲大學,行銷學系,國文,均標,--,英文,後標,--,數學B,--,--,國英數B,--,3,,,,*2.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國英數B級分總和二、學測國文級分三、學測英文級分四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助於審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,1
中國文化大學,行銷學士學位學程,國文,--,--,社會,後標,3,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、指定項目甄試成績二、學測社會級分三、學測國文級分四、審查資料,項目：課程學習成果(B、C)、多元表現(G、I、J、M、N) ,一、學測國文、社會之級分總和　二、學測社會級分　三、學測國文級分,1
輔仁大學,織品服裝學系織品服飾行銷組,國文,後標,--,英文,均標,2.5,數學A,底標,--,數學B,底標,--,,,,*1.50,*2.00,--,--,,25%,審查資料,--,25%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國英級分總和四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
國立高雄師範大學,事業經營學系,國文,--,--,英文,均標,4.5,數學B,均標,3.5,,,,,,,*1.50,*2.00,*2.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、面試二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、J、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分,1
臺北市立大學,都會產業經營與行銷學系,國文,均標,10.0,英文,--,3.5,數學B,--,6.0,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、指定項目甄試成績二、學科能力測驗成績三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和,1
國立屏東大學,行銷與流通管理學系,國文,--,--,英文,後標,4,數學B,--,--,社會,--,--,國數B,--,25,*1.50,*2.00,*2.00,*1.00,--,50%,審查資料,60分,50%,,,,,,,,,,,,,一、審查資料二、學測英文級分三、學測數學B級分四、學測國英數B社級分總和,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、H、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
長榮大學,蘭花產業應用學士學位學程,國文,底標,7.0,,,,,,,,,,,,,*1.00,,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、學測國文級分二、面試三、審查資料四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q)、其他(R.其他有利於審查之資料) ,一、學測國文級分,1
國立嘉義大學,行銷與觀光管理學系,國文,--,--,英文,均標,10,數學B,--,--,國英,--,3,,,,*1.50,*2.00,*1.00,--,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英文級分二、學測數學B級分三、學測國文級分四、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
佛光大學,管理學系(行銷與創業組),國文,底標,3,社會,--,--,,,,,,,,,,*1.00,*1.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、H、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和,1
