college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
淡江大學,國際觀光管理學系全英語學士班(海外實習組),英文,均標,3.0,,,,,,,,,,,,,*2.00,,,,,50%,審查資料,--,50%,團體面試,60分,25%,,,,,,,,,,一、學測英文級分二、審查資料三、團體面試,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、K、M、N)、學習歷程自述(P、Q) ,一、學測英文級分,1
淡江大學,國際觀光管理學系全英語學士班(全球跨域組),英文,均標,3.0,社會,--,6.0,,,,,,,,,,*2.00,*1.00,,,,50%,審查資料,--,50%,團體面試,60分,25%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、團體面試,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、K、M、N)、學習歷程自述(P、Q) ,一、學測英文、社會之級分總和,1
中國文化大學,觀光事業學系,國文,--,3,英文,--,3,社會,底標,--,,,,,,,*1.50,*2.00,*2.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)、其他(R.與本系理念相關之證明) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分,1
靜宜大學,觀光事業學系,國文,後標,--,英文,--,3,數學B,--,--,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測英文級分二、學測國文級分三、學測數學B級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分,1
國立臺灣海洋大學,海洋觀光管理學士學位學程,國文,均標,5.0,英文,均標,3.5,數學B,後標,6.0,社會,後標,5.5,,,,*1.25,*1.50,*1.00,*1.25,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英文級分二、學測國文級分三、學測社會級分四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分　三、學測社會級分,1
國立東華大學,觀光暨休閒遊憩學系,國文,均標,6,英文,--,--,數學B,--,--,國英社,--,3,,,,*1.00,*1.50,*1.50,--,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測英文級分二、面試三、學測國英數B社級分總和四、學測國文級分,項目：修課紀錄(A)、多元表現(F、G、L、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測數學B級分,1
大葉大學,觀光旅遊學系,國文,底標,20.0,社會,--,10.0,國社,--,3.0,,,,,,,--,--,--,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
義守大學,觀光學系,國文,--,3.0,英文,--,4.0,社會,後標,3.0,,,,,,,*1.00,*1.50,*2.00,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、學測社會級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
世新大學,觀光學系餐旅經營管理組,國文,--,--,社會,底標,3,,,,,,,,,,*2.00,*1.50,,,,40%,審查資料,60分,40%,面試,60分,30%,,,,,,,,,,一、學測國文級分二、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和,1
世新大學,觀光學系旅遊暨休閒事業管理組,國文,--,--,社會,底標,3,,,,,,,,,,*2.00,*1.50,,,,40%,審查資料,60分,40%,面試,60分,30%,,,,,,,,,,一、學測國文級分二、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和,1
世新大學,觀光學系觀光規劃暨資源管理組,國文,--,--,社會,底標,3,,,,,,,,,,*2.00,*1.50,,,,40%,審查資料,60分,40%,面試,60分,30%,,,,,,,,,,一、學測國文級分二、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和,1
國立暨南國際大學,觀光休閒與餐旅管理學系觀光休閒組,國文,均標,5.0,英文,--,4.0,,,,,,,,,,*2.00,*2.00,,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測國文級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(H、I、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,1
南華大學,旅遊管理學系,國文,底標,3.0,,,,,,,,,,,,,*1.00,,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文級分,1
國立聯合大學,文化觀光產業學系,國文,後標,3.0,英文,--,4.0,社會,--,3.0,,,,,,,*2.00,*2.00,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、多元表現(F、G、M、N)、學習歷程自述(P、Q)、其他(R.自傳、S.其他有利審查資料) ,一、學測國文、英文、社會之級分總和,1
國立金門大學,觀光管理學系,國文,後標,4,英文,--,--,社會,--,3,,,,,,,*2.00,*1.00,*1.50,,,40%,審查資料,--,40%,,,,,,,,,,,,,一、審查資料二、學測國文級分三、學測社會級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N) ,一、學測國文、英文、社會之級分總和,1
