college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,護理學系,國文,--,--,英文,均標,6,數學A,--,--,自然,均標,3,,,,*1.00,*1.25,*1.00,*1.00,,50%,審查資料,--,50%,面試,70分,30%,,,,,,,,,,一、面試二、學測國英數A自級分總和三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分,1
國立成功大學,護理學系,國文,均標,8,英文,均標,3,數學A,--,--,自然,均標,6,,,,*1.00,*1.25,*1.00,*1.00,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、I、L、N)、學習歷程自述(O、P、Q)、其他(R.請參閱招簡章審查資料) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
高雄醫學大學,護理學系,國文,--,--,英文,均標,3,數學A,底標,--,自然,均標,8,,,,*1.00,*1.00,--,*1.00,,35%,審查資料,--,35%,面試,65分,35%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(D)、學習歷程自述(O)、其他(R.自傳-個人經驗與反思) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
中國醫藥大學,護理學系,國文,後標,--,英文,後標,3,自然,後標,8,,,,,,,*1.00,*1.00,*1.00,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談二、學測英文級分三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
國立陽明交通大學,護理學系,國文,均標,--,英文,均標,3,數學A,均標,--,自然,均標,6,,,,*1.00,*1.25,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、學測國英數A自級分總和二、審查資料三、面試四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
輔仁大學,護理學系,國文,--,--,英文,均標,3,數學A,--,--,自然,--,--,,,,*1.50,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、面試二、學測英文級分三、學測國文級分,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料證明) ,一、學測國文、英文、數學A、自然之級分總和,1
中山醫學大學,護理學系,國文,後標,5,英文,後標,4,數學A,--,--,自然,後標,3,,,,*1.00,*2.00,*1.00,*2.00,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、H、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
長庚大學,護理學系,國文,均標,3.0,英文,均標,3.0,自然,均標,3.0,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測英文級分三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、H、I、L、N)、學習歷程自述(O、P、Q)、其他(R.自傳含特質與利他經驗) ,一、學測國文、英文、自然之級分總和,1
大葉大學,護理學系,英文,底標,3.0,自然,--,3.0,,,,,,,,,,*2.00,*1.50,,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學測英自級分總和三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、I、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測英文、自然之級分總和　二、學測英文級分,1
義守大學,護理學系,國文,--,--,英文,均標,5,自然,--,3,,,,,,,*1.00,*2.00,*2.00,,,35%,審查資料,--,35%,面試,--,35%,,,,,,,,,,一、學測自然級分二、學測英文級分三、學測國文級分四、面試,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
慈濟大學,護理學系,國文,後標,6.0,英文,後標,4.0,自然,後標,3.0,,,,,,,*1.50,*1.50,*1.50,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、I、N)、學習歷程自述(O、Q) ,一、學測國文、英文、自然之級分總和,1
臺北醫學大學,護理學系,國文,--,--,英文,均標,4,數學A,--,--,自然,均標,6,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,60分,35%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(H、J、L、M、N) ,一、學測國文、英文、數學A、自然之級分總和,1
亞洲大學,護理學系國際護理組,英文,後標,--,數學A,底標,--,自然,底標,--,英數A自,--,3,,,,*1.00,*1.00,*1.00,--,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測英數A自級分總和三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、I、L、M、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測數學A級分,1
亞洲大學,護理學系臨床照護組,英文,底標,--,數學A,底標,--,自然,底標,--,英數A自,--,3,,,,*1.00,--,*1.00,--,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測英數A自級分總和三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、I、L、M、N)、學習歷程自述(P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
亞洲大學,護理學系高齡長期照護組,國文,底標,--,英文,--,--,數學A,底標,--,自然,底標,--,國數A自,--,3,*1.00,*1.00,--,*1.00,--,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測國英數A自級分總和三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、I、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測國文級分,1
