college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,財務金融學系,國文,頂標,--,英文,頂標,2,數學A,頂標,3,國英數A,--,4,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,口試,70分,30%,,,,,,,,,,一、口試二、審查資料三、學測國英數A級分總和四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料、S.本系個人資料表) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分,1
國立中興大學,財務金融學系,國文,前標,--,英文,前標,3,數學B,前標,5,國英數B社,--,8,,,,*1.00,*2.00,*2.00,--,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英文級分二、學測數學B級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學B、社會之級分總和　二、學測數學B級分　三、學測國文級分,1
東吳大學,財務工程與精算數學系,國文,--,5.0,英文,後標,4.0,數學B,均標,3.0,,,,,,,--,*1.00,*2.00,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、多元表現(F、G、H、L、N)、學習歷程自述(O、P)、其他(R.本系自訂個人資料表、S.其他有利審查項目) ,一、學測國文、英文、數學B之級分總和,1
國立政治大學,金融學系,國文,前標,4.0,英文,前標,3.0,數學A,前標,3.0,國英數A,--,6.0,,,,*1.00,*1.50,*2.00,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
國立政治大學,財務管理學系,國文,前標,4.0,英文,前標,3.0,數學A,前標,3.0,,,,,,,*1.00,*1.50,*1.50,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、N)、學習歷程自述(O)、其他(R.其他有利申請文件) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
中原大學,財務金融學系,國文,均標,--,英文,--,3,數學B,--,3,社會,--,3,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、面試二、學科能力測驗成績三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測數學B級分,1
東海大學,財務金融學系,英文,均標,3.0,數學B,後標,3.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、I、N)、學習歷程自述(O) ,一、學測英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分,1
國立清華大學,計量財務金融學系,國文,前標,5.0,英文,前標,5.0,數學A,前標,3.0,,,,,,,*1.00,*1.50,*1.50,,,50%,審查資料,--,50%,互動式座談與評量,--,10%,,,,,,,,,,一、審查資料二、學測數學A級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分,1
淡江大學,財務金融學系,國文,--,3,英文,--,3,數學B,後標,3,社會,--,--,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、面試四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和,1
淡江大學,財務金融學系全球財務管理全英語學士班,國文,--,3.0,英文,均標,3.0,數學B,--,3.0,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、面試四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和,1
