college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,資訊工程學系,英文,頂標,10.0,數學A,頂標,2.5,自然,頂標,10.0,,,,,,,*1.25,*2.00,*1.00,,,20%,審查資料,70分,20%,數學筆試,--,40%,,,,,,,,,,一、數學筆試二、審查資料三、學科能力測驗成績四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.其他有利審查之證明) ,一、學測英文、數學A、自然之級分總和,1
國立臺灣師範大學,資訊工程學系,國文,均標,--,英文,均標,10,數學A,前標,3,自然,前標,--,,,,--,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,口試,--,25%,,,,,,,,,,一、指定項目甄試成績二、學測數學A級分三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
國立成功大學,資訊工程學系,英文,均標,3.0,數學A,前標,3.0,自然,前標,3.0,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,認識本系及筆試,--,10%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
國立政治大學,資訊科學系,英文,均標,--,數學A,前標,3,自然,均標,--,國英數A自,--,4,,,,*1.00,*2.00,*1.00,--,,40%,審查資料,--,40%,筆試,--,30%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、筆試,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、L、M、N)、學習歷程自述(O、P)、其他(R.備審基本資料表) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
中原大學,電機資訊學院學士班,國文,--,--,英文,後標,--,數學A,均標,3,自然,--,--,,,,*1.00,*1.50,*1.00,*1.00,,45%,審查資料,--,45%,面試,--,15%,,,,,,,,,,一、學測國英數A自級分總和二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
中原大學,資訊工程學系,國文,--,--,英文,後標,--,數學A,--,--,自然,--,--,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,80分,10%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(G、H、J、L、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分,1
中原大學,電機資訊學院智慧運算與大數據學士班,國文,--,--,英文,後標,--,數學A,--,--,自然,--,--,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,60分,10%,,,,,,,,,,一、學測國英數A自級分總和二、學測數學A級分三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、L、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
國立清華大學,資訊工程學系甲組(電子資訊組),國文,均標,10.0,英文,前標,10.0,數學A,前標,10.0,自然,前標,10.0,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,筆試,--,10%,,,,,,,,,,一、審查資料二、學測國英數A自級分總和三、筆試四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分,1
國立清華大學,資訊工程學系乙組(資訊工程組),國文,均標,--,英文,前標,3,數學A,前標,3,自然,前標,10,,,,--,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,筆試,--,10%,,,,,,,,,,一、審查資料二、學測國英數A自級分總和三、筆試四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立清華大學,資訊工程學系丙組(人工智慧組),英文,前標,6.0,數學A,前標,6.0,自然,前標,6.0,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,筆試,--,10%,,,,,,,,,,一、審查資料二、學測英數A自級分總和三、筆試四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分,1
