college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,資訊管理學系,國文,--,--,英文,頂標,3,數學A,頂標,3,自然,--,--,國英數A自,--,5,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,70分,40%,口試,--,30%,,,,,,,,,,一、學科能力測驗成績二、口試三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.有利審查資料之證明) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分,1
國立中興大學,資訊管理學系,國文,均標,10.0,英文,前標,10.0,數學A,前標,3.0,自然,均標,10.0,,,,*1.00,*2.00,*2.00,*1.00,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、審查資料三、學測國英數A自級分總和四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分,1
東吳大學,資訊管理學系,國文,--,--,英文,均標,5,數學B,均標,3,,,,,,,*1.00,*2.00,*2.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測數學B級分三、學測英文級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查項目) ,一、學測國文、英文、數學B之級分總和,1
國立政治大學,資訊管理學系,國文,前標,5.0,英文,前標,4.0,數學A,前標,3.0,,,,,,,*1.00,*1.50,*1.50,,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學科能力測驗成績三、審查資料四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測國文級分,1
中原大學,資訊管理學系,國文,--,3,英文,--,--,數學A,底標,--,數學B,後標,--,,,,*1.00,*1.00,--,--,,30%,審查資料,--,30%,面試,60分,30%,,,,,,,,,,一、學科能力測驗成績二、學測國文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測英文級分,1
淡江大學,資訊管理學系,國文,--,3.0,英文,--,3.0,數學B,後標,3.0,,,,,,,*1.00,*1.50,*2.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學測國文級分四、面試,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(G、I、J、L、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
逢甲大學,人工智慧技術與應用學士學位學程,國文,--,--,英文,後標,--,數學A,後標,3,國英數A,--,5,,,,*1.00,*1.00,*1.50,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A之級分總和,1
國立中央大學,資訊管理學系,國文,均標,--,英文,--,3,數學A,均標,8,自然,--,4,,,,--,*1.50,*1.50,*1.00,,30%,審查資料,--,30%,,,,,,,,,,,,,一、學測數學A級分二、學測英文級分三、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學A、自然之級分總和,1
靜宜大學,資訊管理學系,國文,--,3.0,英文,底標,3.0,,,,,,,,,,*1.00,*1.00,,,,40%,審查資料,60分,40%,面試,60分,30%,,,,,,,,,,一、審查資料二、面試三、學測國英級分總和,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(P)、其他(R.其他有利審查資料) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
大同大學,資訊經營學系,國文,底標,--,英文,底標,--,數學B,底標,--,國英數B,--,3,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國英數B級分總和二、學測國文級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.資訊科技相關學習表現) ,一、學測國文、英文、數學B之級分總和,1
輔仁大學,資訊管理學系,國文,--,3.0,英文,均標,5.0,數學B,均標,5.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測數學B級分四、學測英文級分,項目：修課紀錄(A)、多元表現(F、N)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
國立彰化師範大學,資訊管理學系資訊管理組,國文,均標,3.0,英文,均標,6.0,數學B,均標,5.0,國英數B,--,7.0,,,,*1.00,*2.00,*2.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、學測國文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分,1
國立彰化師範大學,資訊管理學系數位內容科技與管理組,國文,均標,3.0,英文,均標,6.0,數學A,均標,5.0,國英數A,--,7.0,,,,*1.00,*2.00,*2.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學測國文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、其他(R.個人資料表) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分,1
國立中山大學,資訊管理學系,國文,--,3.0,英文,均標,3.0,數學A,均標,3.0,,,,,,,*1.00,*1.50,*2.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分,1
國立屏東大學,資訊管理學系,國文,均標,16.0,英文,後標,10.0,數學B,後標,12.0,,,,,,,*1.00,*2.00,*2.00,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學B級分二、學測英文級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
國立臺東大學,資訊管理學系,國文,--,--,英文,後標,--,數學B,--,--,國英數B,--,3,,,,*1.50,*2.00,*2.00,--,,30%,審查資料,--,30%,面試,--,35%,,,,,,,,,,一、面試二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、I、L、M、N)、學習歷程自述(P) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分,1
元智大學,資訊管理學系,國文,--,3.0,英文,後標,3.0,數學B,--,3.0,,,,,,,*1.00,*1.50,*1.50,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測國英數B級分總和,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、H、M、N)、學習歷程自述(O、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分,1
元智大學,資訊學院英語學士班,國文,--,3.0,英文,均標,3.0,數學A,--,3.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測英文級分　三、學測數學A級分　四、學測國文級分,1
國立中正大學,資訊管理學系,國文,均標,--,英文,前標,--,數學A,均標,10,英數A,--,3,,,,*1.00,*1.00,*1.00,--,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測國英數A級分總和二、學測數學A級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、H、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A之級分總和,1
華梵大學,智慧生活科技學系智慧產品開發組,國文,底標,3.5,英文,--,--,數學B,--,--,,,,,,,*1.00,*1.50,*2.00,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、I、N)、學習歷程自述(Q) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分,1
華梵大學,智慧生活科技學系大數據與管理組,國文,底標,3.5,英文,--,--,數學B,--,--,,,,,,,*1.00,*1.50,*2.00,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、指定項目甄試成績,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、I、N)、學習歷程自述(Q) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,1
義守大學,資訊管理學系,國文,後標,3,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
世新大學,資訊管理學系資訊管理組,國文,底標,3.0,英文,底標,5.0,數學B,後標,6.0,,,,,,,*2.00,*1.75,*1.75,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和,1
世新大學,資訊管理學系資訊科技組,國文,底標,3.0,英文,底標,5.0,數學B,後標,6.0,,,,,,,*2.00,*1.75,*1.75,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B之級分總和,1
世新大學,資訊管理學系智慧網路應用組,國文,底標,3.0,數學B,後標,6.0,,,,,,,,,,*2.00,*1.75,,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測數學B級分二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(Q)、其他(R.其他有利審查資料) ,一、學測國文、數學B之級分總和,1
實踐大學,資訊科技與管理學系(臺北校區),國文,--,5.0,英文,底標,3.0,社會,--,7.0,,,,,,,*2.00,*2.00,*1.00,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、學測國英社級分總和二、學測英文級分三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、H、I、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測社會級分,1
