college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣師範大學,教育心理與輔導學系,國文,前標,--,英文,前標,--,數學B,均標,--,社會,均標,--,國英數B社,--,3,*1.00,*1.50,*1.50,*1.00,--,40%,審查資料,--,40%,口試,--,35%,,,,,,,,,,一、口試二、學科能力測驗成績三、審查資料四、學測英文級分,項目：修課紀錄(A)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測數學B級分　三、學測社會級分　四、學測英文級分,1
國立清華大學,教育心理與諮商學系,國文,均標,--,英文,前標,3.5,數學B,均標,--,國英數B,--,6,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學科能力測驗成績二、面試三、學測英文級分四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分,1
中國文化大學,心理輔導學系,國文,後標,5.0,英文,--,6.0,社會,--,3.0,,,,,,,*2.00,*2.00,*1.50,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國文級分二、學測英文級分三、學測社會級分四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測國文級分　三、學測英文級分,1
國立彰化師範大學,輔導與諮商學系學校輔導與諮商組,國文,前標,2.5,英文,前標,--,數學B,均標,--,社會,均標,--,國英數B社,--,5,*2.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,人際溝通(活動測試),--,17%,面試,--,18%,,,,,,,一、人際溝通(活動測試)二、學科能力測驗成績三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分,1
國立彰化師範大學,輔導與諮商學系社區輔導與諮商組,國文,前標,2.5,英文,前標,--,數學B,均標,--,社會,均標,--,國英數B社,--,5,*2.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,人際溝通(活動測試),--,17%,面試,--,18%,,,,,,,一、人際溝通(活動測試)二、學科能力測驗成績三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分,1
國立臺中教育大學,諮商與應用心理學系,國文,均標,4.0,英文,均標,3.0,數學B,後標,6.0,,,,,,,*2.00,*2.00,*1.75,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測國文級分三、學測英文級分四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測英文級分,1
國立臺北教育大學,心理與諮商學系,國文,均標,5.0,英文,均標,4.0,數學B,均標,3.0,,,,,,,--,--,--,,,0%,審查資料,--,0%,面試,--,40%,筆試,--,15%,,,,,,,一、面試二、筆試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
國立臺南大學,諮商與輔導學系,國文,均標,--,英文,均標,--,數學B,均標,--,社會,均標,--,國英數B社,--,3,*1.50,*1.50,*1.50,*1.00,--,40%,審查資料,--,40%,面試,70分,30%,,,,,,,,,,一、面試二、指定項目甄試成績三、學科能力測驗成績四、學測國英數B社級分總和,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測社會級分,1
臺北市立大學,心理與諮商學系,國文,均標,3,英文,均標,--,數學B,均標,--,,,,,,,*1.50,*2.00,*1.50,,,30%,審查資料,--,30%,面試,60分,40%,,,,,,,,,,一、學測國英數B級分總和二、指定項目甄試成績三、面試四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分,1
國立屏東大學,教育心理與輔導學系,國文,均標,--,英文,均標,--,數學B,均標,--,社會,均標,--,國英數B社,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測國英數B社級分總和二、面試三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分,1
