college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立成功大學,交通管理科學系,國文,均標,5.0,英文,前標,2.5,數學A,前標,3.0,自然,均標,5.0,,,,*1.00,*1.50,*1.50,*1.00,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分　四、學測國文級分,1
國立陽明交通大學,運輸與物流管理學系,國文,均標,3.0,英文,前標,3.0,數學A,前標,3.0,自然,均標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,團體面談及個案分析,--,10%,,,,,,,,,,一、團體面談及個案分析二、審查資料三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查之資料) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分,1
淡江大學,運輸管理學系,國文,--,3,英文,--,3,數學B,後標,3,社會,--,--,,,,*1.50,*1.50,*1.50,*1.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學科能力測驗成績三、審查資料,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B、社會之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
逢甲大學,運輸與物流學系,國文,後標,--,英文,後標,5,數學B,後標,4,國英數B,--,3,,,,*2.00,*2.00,*1.75,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、指定項目甄試成績二、學測英文級分三、學測國文級分四、學測數學B級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(G、I、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分,1
國立臺灣海洋大學,商船學系,英文,均標,6.0,數學A,均標,3.0,,,,,,,,,,*1.00,*1.00,,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學A級分二、學測英文級分三、學測英數A級分總和四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測英文、數學A之級分總和　二、學測英文級分,1
國立臺灣海洋大學,航運管理學系,國文,--,--,英文,均標,3,數學B,均標,5,國英數B社,--,6,,,,*1.00,*2.00,*1.50,--,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測國英數B社級分總和二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、E)、多元表現(G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和,1
國立臺灣海洋大學,運輸科學系A組,國文,--,--,英文,均標,3,數學B,均標,5,社會,--,--,,,,*1.00,*2.00,*1.50,*1.00,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和,1
國立臺灣海洋大學,運輸科學系B組,國文,--,--,英文,均標,3,數學A,均標,5,自然,--,--,,,,*1.00,*2.00,*1.50,*1.00,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學科能力測驗成績二、學測英文級分三、學測數學A級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和,1
長榮大學,航運管理學系,國文,底標,5,英文,--,4,數學B,--,--,社會,--,3,,,,*1.00,*2.00,*1.00,*1.75,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、學測國文級分二、面試三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查之資料) ,一、學測國文、英文、數學B、社會之級分總和　二、學測國文級分,1
真理大學,航空事業學系,國文,底標,3.0,英文,--,3.0,社會,--,3.0,,,,,,,*1.00,--,--,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、學測國文級分二、學測英文級分三、學測社會級分四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、H、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
