college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,醫學系,國文,頂標,4.0,英文,頂標,2.0,數學A,頂標,2.0,自然,頂標,2.0,國英數A自,--,3.0,--,--,--,--,--,0%,審查資料,--,0%,生物+化學筆試,--,10%,口試,--,40%,生物+化學實作,--,40%,,,,一、生物+化學實作二、口試三、生物+化學筆試,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
國立成功大學,醫學系,國文,頂標,6.0,英文,頂標,5.0,數學A,頂標,2.5,自然,頂標,2.5,國英數A自,--,2.0,*1.00,*1.25,*1.25,*1.25,--,10%,審查資料,--,10%,面試,--,75%,,,,,,,,,,一、面試二、審查資料三、學測國英數A自級分總和四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學A級分,1
高雄醫學大學,醫學系,國文,前標,7.0,英文,前標,3.0,數學A,前標,6.0,自然,前標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,面試,60分,50%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.生命科學相關專題短文、S.生命科學相關學習心得、T.生命科學相關學習成果) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測數學A級分,1
中國醫藥大學,醫學系,國文,前標,8,數學A,頂標,3,社會,前標,8,自然,頂標,3,國數A社自,--,5,*1.00,*1.25,*1.00,*1.25,--,40%,審查資料,--,40%,面談,--,50%,,,,,,,,,,一、面談二、學測國數A社自級分總和三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、數學A、社會、自然之級分總和,1
中國醫藥大學,中醫學系甲組,國文,前標,6.0,英文,頂標,5.0,數學A,頂標,5.0,自然,頂標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面談,--,30%,,,,,,,,,,一、面談二、學測國英數A自級分總和三、學測國文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測國文級分　三、學測自然級分　四、學測英文級分,1
中國醫藥大學,中醫學系乙組,國文,前標,6.0,英文,頂標,5.0,數學A,頂標,5.0,自然,頂標,3.0,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面談,--,30%,,,,,,,,,,一、面談二、學測國英數A自級分總和三、學測國文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測國文級分　三、學測自然級分　四、學測英文級分,1
國立陽明交通大學,醫學系醫師組,國文,頂標,4.0,英文,頂標,3.0,數學A,頂標,3.0,自然,頂標,2.0,國英數A自,--,2.5,--,--,--,--,--,0%,審查資料,--,0%,面談,--,90%,,,,,,,,,,一、面談二、學測自然級分三、學測國英數A自級分總和四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分　四、學測自然級分,1
國立陽明交通大學,醫學系醫師科學家組,國文,頂標,4.0,英文,頂標,3.0,數學A,--,3.0,自然,頂標,3.0,國英數A自,--,3.5,--,--,--,--,--,0%,審查資料,--,0%,面談與科學概念測驗,--,90%,,,,,,,,,,一、面談與科學概念測驗二、學測自然級分三、學測數學A級分四、學測國英數A自級分總和,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
國立陽明交通大學,醫學系醫師工程師組,國文,前標,5.5,英文,頂標,5.0,數學A,頂標,3.0,自然,頂標,4.0,國英數A自,--,6.0,--,--,--,--,--,0%,審查資料,--,0%,面談與科學觀念測驗,--,90%,,,,,,,,,,一、面談與科學觀念測驗二、學測數學A級分三、學測自然級分四、學測國英數A自級分總和,項目：修課紀錄(A)、課程學習成果(D)、多元表現(M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
輔仁大學,醫學系,國文,頂標,8.0,英文,頂標,5.0,數學A,頂標,5.0,自然,頂標,3.0,,,,*1.00,*1.50,*1.25,*1.50,,30%,審查資料,--,30%,面試,--,60%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、I、N)、學習歷程自述(O、P) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
