college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,醫學檢驗暨生物技術學系,國文,均標,--,英文,--,3,數學A,--,3,自然,均標,3,,,,--,*1.00,*1.00,*1.25,,40%,審查資料,--,40%,口試,--,30%,,,,,,,,,,一、學測國英數A自級分總和二、口試三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.對未來醫學檢驗的了解、S.對未來生物技術的了解) ,一、學測國文、英文、數學A、自然之級分總和,1
國立成功大學,醫學檢驗生物技術學系,國文,均標,--,英文,均標,4,數學A,均標,--,自然,均標,3,國英數A自,--,10,--,*1.25,*1.00,*1.25,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測國英數A自級分總和二、面試三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分,1
高雄醫學大學,醫學檢驗生物技術學系,英文,均標,3.0,自然,均標,3.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、M、N)、學習歷程自述(O、P) ,一、學測英文、自然之級分總和　二、學測自然級分　三、學測英文級分,1
中國醫藥大學,醫學檢驗生物技術學系,國文,--,--,英文,後標,12,自然,後標,3,,,,,,,*1.00,*1.00,*1.00,,,20%,審查資料,--,20%,面談,--,45%,,,,,,,,,,一、面談二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、多元表現(F、N) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
國立陽明交通大學,醫學生物技術暨檢驗學系,英文,均標,10,數學A,均標,--,自然,均標,3,英聽,B級,--,,,,*1.25,--,*1.00,--,,30%,審查資料,--,30%,面試(英文閱讀),--,40%,,,,,,,,,,一、面試(英文閱讀)二、學測英數A自級分總和三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測數學A級分,1
中山醫學大學,醫學檢驗暨生物技術學系,英文,均標,3.0,自然,均標,3.0,,,,,,,,,,*1.00,*1.00,,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、指定項目甄試成績三、學測英文級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測英文、自然之級分總和　二、學測英文級分　三、學測自然級分,1
長庚大學,醫學生物技術暨檢驗學系,英文,均標,3,數學A,均標,--,自然,均標,3,英數A自,--,8,,,,*1.25,*1.00,*1.25,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測英數A自級分總和三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
義守大學,醫學檢驗技術學系,國文,--,--,英文,--,6,數學A,後標,--,數學B,後標,--,自然,均標,3,*1.00,*1.00,--,--,*2.00,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、G、N)、學習歷程自述(O、P) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
慈濟大學,醫學檢驗生物技術學系,國文,--,--,英文,均標,3,數學A,--,--,自然,均標,3,,,,*1.00,*1.50,*1.00,*1.50,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測自然級分三、學測國文級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
臺北醫學大學,醫學檢驗暨生物技術學系,英文,均標,8.0,自然,均標,8.0,英數A自,--,3.0,,,,,,,*1.25,*1.50,--,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測自然級分二、學測英文級分三、面試四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(D)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
