college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣大學,電機工程學系,英文,頂標,2.5,數學A,頂標,2.5,自然,頂標,2.5,,,,,,,*1.00,*1.00,*1.00,,,20%,審查資料,70分,20%,數學筆試,--,15%,物理筆試,--,15%,,,,,,,一、審查資料二、物理筆試三、數學筆試四、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、D)、學習歷程自述(P、Q)、其他(R.本系個人資料表、S.自傳(學生自述)、T.有利審查資料之證明) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立臺灣師範大學,電機工程學系,國文,均標,--,英文,前標,5,數學A,前標,3,自然,前標,5,,,,--,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測數學A級分三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分,1
國立中興大學,電機工程學系,英文,--,--,數學A,均標,8,自然,均標,--,英數A自,--,3,,,,*1.00,*1.50,*1.50,--,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(O、P) ,一、學測英文、數學A、自然之級分總和,1
國立成功大學,電機工程學系,英文,均標,3.0,數學A,前標,3.0,自然,前標,3.0,,,,,,,*1.00,*2.00,*2.00,,,50%,審查資料,--,50%,團體面談(含筆試),--,15%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測自然級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
中原大學,電機工程學系,英文,均標,3,數學A,--,3,自然,--,--,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,60分,10%,,,,,,,,,,一、學測數學A級分二、學測英文級分三、學測自然級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.數理/程式等學習活動、S.其他有利審查資料) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分,1
東海大學,電機工程學系,國文,--,3,英文,--,3,數學A,後標,--,自然,--,3,,,,--,--,*1.00,*1.00,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、學測數學A級分二、學測自然級分三、學測英文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分,1
淡江大學,電機工程學系電機資訊組,英文,--,4,數學A,均標,--,數學B,均標,--,自然,--,4,國英自,--,3,*1.00,--,--,*1.00,--,50%,審查資料,--,50%,團體面試,--,25%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、團體面試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(G、H、J、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、自然之級分總和,1
淡江大學,電機工程學系電機通訊組,英文,--,4,數學A,均標,--,數學B,均標,--,自然,--,4,國英自,--,3,*1.00,--,--,*1.00,--,50%,審查資料,--,50%,團體面試,--,25%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、團體面試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(G、H、J、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、自然之級分總和,1
淡江大學,電機工程學系電機與系統組,英文,--,4,數學A,均標,--,數學B,均標,--,自然,--,4,國英自,--,3,*1.00,--,--,*1.00,--,50%,審查資料,--,50%,團體面試,--,25%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、團體面試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(G、H、J、M、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、自然之級分總和,1
逢甲大學,美國加州聖荷西州立大學電機工程雙學士學位學程,英文,均標,--,數學A,均標,3,英數A,--,5,,,,,,,*1.00,*2.00,--,,,40%,審查資料,--,40%,面試,--,15%,英文筆試,--,15%,,,,,,,一、學測英數A級分總和二、英文筆試三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、N)、學習歷程自述(P、Q)、其他(R.個人潛能或特殊經歷、S.其他有利審查資料) ,一、學測英文、數學A之級分總和,1
國立中央大學,電機工程學系,國文,均標,--,英文,前標,3,數學A,前標,6,自然,前標,6,,,,--,*1.00,*1.20,*1.20,,30%,審查資料,--,30%,筆試,--,35%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學測自然級分四、筆試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和,1
中國文化大學,電機工程學系,國文,--,--,英文,--,--,數學A,底標,3,自然,--,--,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測數學A級分二、學測英文級分三、學測自然級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、H、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
大同大學,電機工程學系,英文,後標,--,數學A,後標,3,自然,--,--,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測數學A級分二、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、N)、學習歷程自述(O、P、Q)、其他(R.其它助於表現自我資料) ,一、學測英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測自然級分,1
輔仁大學,電機工程學系,英文,--,--,數學A,後標,--,自然,--,--,英數A自,--,3,,,,*1.00,*1.00,*1.00,--,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英數A自級分總和二、審查資料三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和,1
