college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣師範大學,音樂學系,國文,後標,--,英文,後標,--,,,,,,,,,,*1.00,*1.00,,,,15%,(無),--,15%,,,,,,,,,,,,,主修,項目：(無)說明：(無),一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
東吳大學,音樂學系,國文,底標,--,英文,底標,--,,,,,,,,,,--,--,,,,0%,(無),--,0%,,,,,,,,,,,,,主修,項目：(無)說明：(無),一、學測國文、英文之級分總和,1
東海大學,音樂學系,國文,底標,--,英文,底標,--,,,,,,,,,,--,--,,,,0%,面試(主修樂器考試),--,0%,主修樂器考試曲目表,--,0%,,,,,,,,,,主修,項目：(無)說明：(無),一、學測國文、英文之級分總和,1
國立清華大學,音樂學系,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,5%,(無),--,5%,,,,,,,,,,,,,主修,項目：(無)說明：(無),一、學測國文、英文之級分總和,1
中國文化大學,音樂學系,國文,--,12.0,,,,,,,,,,,,,*1.00,,,,,5%,面試,75分,5%,,,,,,,,,,,,,主修,項目：(無)說明：(無),一、學測國文級分,1
國立高雄師範大學,音樂學系,國文,後標,--,英文,後標,--,,,,,,,,,,--,--,,,,0%,主修原始成績,80分,0%,,,,,,,,,,,,,主修,項目：(無)說明：(無),一、學測國文、英文之級分總和,1
國立中山大學,音樂學系,國文,後標,--,英文,後標,--,,,,,,,,,,*1.00,*1.00,,,,5%,審查資料,--,5%,,,,,,,,,,,,,主修,項目：學習歷程自述(P、Q) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
國立中山大學,音樂學系創作與應用組,國文,後標,--,英文,後標,--,,,,,,,,,,*1.00,*1.00,,,,10%,審查資料,--,10%,筆試,--,20%,面試,75分,45%,,,,,,,樂理,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測英文級分　三、學測國文級分,1
國立臺北藝術大學,音樂與影像跨域學士學位學程,國文,均標,10,英文,均標,12,英聽,B級,--,,,,,,,--,--,--,,,0%,審查資料,--,0%,面試,--,70%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)、其他(R.音樂與影像相關作品) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分,1
國立臺中教育大學,音樂學系,國文,--,--,英文,--,--,,,,,,,,,,*1.00,*1.00,,,,10%,審查資料,--,10%,,,,,,,,,,,,,主修,項目：學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和,1
