college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣師範大學,營養科學學士學位學程,國文,--,--,英文,均標,--,數學A,--,--,自然,均標,3,國英數A自,--,10,*1.00,*1.25,*1.00,*1.25,--,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測國英數A自級分總和二、指定項目甄試成績三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分,1
中國醫藥大學,營養學系,國文,--,--,英文,後標,8,自然,後標,3,,,,,,,*1.00,*2.00,*2.00,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、學測英文級分二、學測國英自級分總和三、面談四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、N)、學習歷程自述(O) ,一、學測國文、英文、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
中國文化大學,保健營養學系,國文,--,--,英文,--,--,自然,後標,--,國英自,--,3,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國英自級分總和二、學測英文級分三、學測自然級分四、面試,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和　二、學測英文級分　三、學測自然級分,1
靜宜大學,食品營養學系營養與保健組,國文,後標,3,英文,底標,8,自然,底標,--,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測自然級分二、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、L、N)、其他(R.其他有利審查資料) ,一、學測國文、英文、自然之級分總和　二、學測國文級分　三、學測英文級分,1
輔仁大學,營養科學系,國文,--,--,英文,均標,3,數學A,後標,--,數學B,後標,--,自然,均標,5,*1.00,*2.00,--,--,*2.00,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測國英自級分總和二、學科能力測驗成績三、指定項目甄試成績四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和,1
中山醫學大學,營養學系,國文,--,--,英文,均標,3,自然,均標,8,,,,,,,*1.00,*1.00,*1.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測國英自級分總和二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、其他(R.檢附有利申請文件) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分,1
實踐大學,食品營養與保健生技學系(臺北校區),國文,--,--,英文,後標,--,自然,--,--,國自,--,3,,,,*1.00,*1.00,*1.00,--,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測國英自級分總和四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、L、N)、學習歷程自述(O、P) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測國文級分　四、學測英文級分,1
長榮大學,保健營養學系,國文,底標,4.0,自然,--,3.0,,,,,,,,,,*2.00,*2.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、學測國文級分三、審查資料四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、H、N)、學習歷程自述(O、P、Q)、其他(R.其他有利於審查之資料) ,一、學測國文、自然之級分總和　二、學測國文級分,1
臺北醫學大學,保健營養學系,國文,均標,--,英文,均標,3,數學A,均標,--,自然,均標,5,,,,*1.00,*1.00,*1.00,*1.00,,50%,審查資料,--,50%,面試,60分,30%,,,,,,,,,,一、面試二、學測國英數A自級分總和三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分,1
開南大學,保健營養學系,自然,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、N)、學習歷程自述(P、Q) ,一、學測自然級分,1
