college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select,found
國立臺灣師範大學,體育與運動科學系,國文,均標,--,英文,均標,--,社會,後標,--,自然,後標,--,國英社自,--,3,*1.00,*1.50,*1.00,*1.00,--,30%,審查資料,--,30%,口試,--,25%,,,,,,,,,,體育(百分等級),項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分,1
國立清華大學,運動科學系,國文,均標,6.0,英文,均標,4.0,數學A,均標,4.0,,,,,,,*1.00,*1.00,*1.00,,,45%,審查資料,--,45%,面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分,1
中國文化大學,體育學系,國文,--,--,英文,--,5,社會,--,--,自然,--,--,,,,*1.00,*1.00,*1.00,*1.00,,30%,審查資料,--,30%,面試(含基本體能）,--,40%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B)、多元表現(G、J、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會、自然之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分,1
輔仁大學,體育學系體育學組,國文,--,3,英文,--,3,數學B,--,--,,,,,,,*2.00,*2.00,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,體育(百分等級),項目：修課紀錄(A)、多元表現(G、H、J、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,1
輔仁大學,體育學系運動健康管理組,國文,--,3,英文,--,3,數學B,--,--,,,,,,,*2.00,*2.00,*1.00,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,--,項目：修課紀錄(A)、多元表現(G、H、J、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分,1
國立高雄師範大學,體育學系,國文,均標,5.5,英文,後標,5.5,數學B,--,6.0,自然,--,7.0,,,,*2.00,*1.25,*1.00,*1.50,,40%,審查資料,--,40%,面試,--,20%,,,,,,,,,,體育(百分等級),項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測國文、英文、數學B、自然之級分總和　二、學測國文級分　三、學測英文級分　四、學測自然級分,1
國立臺北教育大學,體育學系,國文,後標,--,英文,底標,--,數學B,後標,--,國英數B,--,3,,,,*2.00,*2.00,*2.00,--,,20%,審查資料,--,20%,面試,--,30%,,,,,,,,,,體育(百分等級),項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、H、I、N)、學習歷程自述(P、Q)、其他(R.個人資料表、S.自傳) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分,1
國立臺南大學,體育學系,國文,--,--,英文,--,--,數學B,--,--,國英數B,--,5,,,,*2.00,*1.00,*2.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,體育(百分等級),項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測數學B級分　四、學測英文級分,1
國立東華大學,體育與運動科學系,國文,後標,8.0,英文,後標,4.0,數學B,後標,6.0,,,,,,,*1.50,*1.00,*1.50,,,20%,審查資料,--,20%,面試,--,30%,,,,,,,,,,體育(百分等級),項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、H、I、J、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測數學B級分,1
臺北市立大學,體育學系,國文,--,--,英文,--,--,國英,--,20,,,,,,,*1.00,*2.00,--,,,40%,審查資料,--,40%,面試,60分,25%,,,,,,,,,,體育(百分等級),項目：修課紀錄(A)、課程學習成果(B)、多元表現(J、N) ,一、學測國文、英文之級分總和,1
