college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
中原大學,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,國文,--,--,英文,均標,3,數學A,均標,3,自然,--,--,,,,*1.00,*1.00,*1.00,*1.00,,40%,審查資料,--,40%,面試,--,20%,,,,,,,,,,一、面試二、學測英文級分三、審查資料四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、K、L、N)、學習歷程自述(O、P、Q)、其他(R.國際交流經驗) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分
中華大學,中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程,英文,底標,12.5,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(H、J、L、M、N)、學習歷程自述(P、Q)、其他(R.其他有利於審查之資料) ,一、學測英文級分
長庚大學,人工智慧學士學位學程,英文,--,--,數學A,均標,5,自然,--,6,英數A自,--,8,,,,*1.00,*2.00,*1.50,--,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測數學A級分三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和
淡江大學,人工智慧學系,英文,--,4,數學A,均標,--,數學B,均標,--,自然,--,4,國英自,--,3,*1.00,--,--,*1.00,--,40%,審查資料,--,40%,團體面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、團體面試四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q)、其他(R.自傳) ,一、學測國文、英文、自然之級分總和　二、學測自然級分
中信金融管理學院,人工智慧學系,國文,--,3,數學A,均標,--,數學B,均標,--,,,,,,,*1.00,--,--,,,50%,審查資料,50分,50%,,,,,,,,,,,,,一、學測國文級分二、審查資料,項目：修課紀錄(A)、多元表現(G、H、J、M、N)、學習歷程自述(P、Q) ,一、學測國文之級分總和
逢甲大學,人工智慧技術與應用學士學位學程,國文,--,--,英文,後標,--,數學A,後標,3,國英數A,--,5,,,,*1.00,*1.00,*1.50,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A之級分總和
輔仁大學,人工智慧與資訊安全學士學位學程,國文,--,--,英文,--,--,數學A,均標,--,國英數A,--,3,,,,*1.00,*1.00,*1.00,--,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測國英數A級分總和二、審查資料三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N) ,一、學測國文、英文、數學A之級分總和
國立臺灣師範大學,光電工程學士學位學程,國文,均標,--,英文,前標,8,數學A,前標,8,自然,前標,5,,,,*1.00,*1.00,*1.50,*1.50,,50%,審查資料,--,50%,口試,--,30%,,,,,,,,,,一、學測國英數A自級分總和二、學測自然級分三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分
國立陽明交通大學,光電工程學系,英文,前標,3.0,數學A,前標,5.0,自然,前標,5.0,,,,,,,*1.00,*2.00,*2.00,,,20%,審查資料,--,20%,口試,--,45%,,,,,,,,,,一、口試二、審查資料三、學測自然級分四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有助審查的資料) ,一、學測英文、數學A、自然之級分總和
國立中山大學,光電工程學系,國文,均標,--,英文,均標,--,數學A,前標,3,自然,前標,4,,,,--,*1.00,*2.00,*2.00,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、審查資料三、學測數學A級分四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測自然級分　四、學測英文級分
國立東華大學,光電工程學系,英文,--,--,數學A,--,--,自然,均標,3,國英數A自,--,4,,,,*1.00,*1.00,*1.50,--,,50%,審查資料,--,50%,認識本系與心得報告,--,10%,,,,,,,,,,一、學測國英數A自級分總和二、學測自然級分三、學測數學A級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(G、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測數學A級分　四、學測英文級分
國立聯合大學,光電工程學系,國文,--,--,英文,--,--,數學A,後標,5,自然,後標,3,,,,*1.50,*1.00,*2.00,*2.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、審查資料二、指定項目甄試成績三、學科能力測驗成績四、學測自然級分,項目：修課紀錄(A)、多元表現(F、N)、學習歷程自述(P)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和
國立成功大學,光電科學與工程學系,國文,均標,--,英文,均標,--,數學A,前標,3,自然,前標,3,國英數A自,--,8,*1.00,*1.00,*1.50,*1.50,--,50%,審查資料,--,50%,面試及認識本系,--,15%,,,,,,,,,,一、學測自然級分二、學測數學A級分三、學科能力測驗成績四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分
逢甲大學,光電科學與工程學系,國文,--,--,英文,--,--,數學A,後標,--,自然,--,--,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測國英數A自級分總和四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、自然之級分總和
