college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
中山醫學大學,健康產業科技管理學系,英文,後標,5.0,數學A,後標,5.0,自然,後標,3.0,,,,,,,*1.50,*1.00,*1.50,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學測自然級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O)、其他(R.其他有利審查資料) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分
慈濟大學,分子生物暨人類遺傳學系,國文,--,--,英文,--,--,自然,後標,3,,,,,,,*1.00,*2.00,*2.00,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和
大同大學,化學工程與生物科技學系,國文,--,--,英文,後標,--,數學A,底標,--,數學B,底標,--,自然,--,3,*1.00,*1.00,--,--,*1.00,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測自然級分二、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.有助於審查之資料) ,一、學測國文、英文、自然之級分總和
國立中興大學,土壤環境科學系,英文,均標,5.0,數學A,均標,3.0,自然,均標,5.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、學測英文級分二、學測自然級分三、學測數學A級分四、面試,項目：修課紀錄(A)、課程學習成果(D)、多元表現(G、H、J、M、N)、學習歷程自述(O、P、Q) ,一、學測英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分
國立嘉義大學,微生物免疫與生物藥學系,國文,--,6.0,英文,後標,4.0,自然,後標,5.0,國自,--,3.0,,,,--,*1.50,*1.50,--,,25%,審查資料,--,25%,,,,,,,,,,,,,一、指定項目甄試成績二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、K、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分
東吳大學,微生物學系,國文,--,--,英文,後標,3,自然,後標,10,,,,,,,*1.00,*2.00,*1.00,,,50%,審查資料,--,50%,面試,--,25%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、M、N)、學習歷程自述(O、P)、其他(R.其他有利審查項目) ,一、學測國文、英文、自然之級分總和
國立臺灣大學,昆蟲學系,國文,均標,--,英文,均標,--,數學A,均標,--,自然,均標,3,國英數A自,--,5,*1.00,*1.00,*1.00,*2.00,--,10%,審查資料,70分,10%,筆試,70分,25%,口試,70分,25%,,,,,,,一、口試二、筆試三、學測國英數A自級分總和四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和
國立中興大學,昆蟲學系,國文,均標,4.0,英文,均標,2.5,數學A,均標,3.0,自然,前標,2.5,,,,*1.00,*1.25,*1.00,*1.25,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測自然級分二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分
國立臺灣師範大學,晨光招生(生命科學系),國文,均標,--,英文,均標,--,數學A,後標,--,數學B,後標,--,自然,--,7,--,*1.00,--,--,*1.00,25%,審查資料,--,25%,,,,,,,,,,,,,一、指定項目甄試成績二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、多元表現(F、I、N)、學習歷程自述(P、Q) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測英文級分
國立中興大學,植物病理學系,國文,均標,--,英文,均標,6,數學A,--,--,自然,均標,5,國英數A自,--,3,*1.00,*1.50,*1.00,*1.50,--,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、學測自然級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(P)、其他(R.其他有利審查項目。) ,一、學測國文、英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測國文級分
