college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
中山醫學大學,健康產業科技管理學系,英文,後標,5.0,數學A,後標,5.0,自然,後標,3.0,,,,,,,*1.50,*1.00,*1.50,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學測自然級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O)、其他(R.其他有利審查資料) ,一、學測英文、數學A、自然之級分總和　二、學測自然級分　三、學測英文級分　四、學測數學A級分
國立臺灣大學,動物科學技術學系,國文,均標,--,英文,均標,--,數學A,均標,--,自然,均標,3,國英數A,--,6,*1.00,*1.00,*1.00,*1.50,--,20%,審查資料,--,20%,筆試,--,45%,,,,,,,,,,一、筆試二、學測自然級分三、學測數學A級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測數學A級分　三、學測英文級分　四、學測國文級分
國立中興大學,動物科學系,國文,均標,6,英文,均標,6,數學A,均標,6,自然,均標,3,英聽,B級,--,*1.00,*1.00,*1.00,*1.25,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測自然級分二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分
中國文化大學,動物科學系,國文,--,3,英文,--,--,自然,底標,3,,,,,,,*1.00,*1.25,*1.50,,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測自然級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、H、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和　二、學測國文級分　三、學測英文級分
國立嘉義大學,動物科學系,國文,--,--,英文,均標,--,數學A,--,--,自然,均標,--,國英數A自,--,3,*1.00,*1.25,*1.00,*1.25,--,40%,審查資料,--,40%,面試,--,20%,,,,,,,,,,一、學科能力測驗成績二、面試三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、I、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測自然級分　四、學測國文級分
國立中興大學,園藝學系,國文,均標,--,英文,均標,5,數學B,均標,--,自然,前標,3,英聽,B級,--,*1.00,*1.50,*1.00,*1.50,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學測自然級分二、學測英文級分三、學測國文級分四、面試,項目：修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.自傳與讀書計畫、S.園藝相關表現) ,一、學測國文、英文、數學B、自然之級分總和　二、學測英文級分　三、學測國文級分
國立嘉義大學,園藝學系,國文,底標,3.0,英文,底標,8.0,數學A,--,6.0,自然,底標,10.0,,,,*1.00,*1.50,*1.00,*1.50,,50%,審查資料,--,50%,,,,,,,,,,,,,一、學測英文級分二、學測自然級分三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、J、N)、學習歷程自述(O、P、Q)、其他(R.自傳、S.個人簡歷表) ,一、學測國文、英文、數學A、自然之級分總和　二、學測國文級分　三、學測英文級分　四、學測自然級分
國立宜蘭大學,園藝學系,國文,--,4.0,英文,--,5.0,自然,後標,3.0,,,,,,,*1.00,*1.00,*2.00,,,30%,審查資料,--,30%,口試,--,40%,,,,,,,,,,一、學科能力測驗成績二、口試三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(G、H、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、自然之級分總和
國立臺灣大學,園藝暨景觀學系,國文,均標,--,英文,均標,--,數學A,均標,--,自然,均標,--,國英數A自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,70分,50%,口試,70分,25%,,,,,,,,,,一、學測國英數A自級分總和二、口試三、審查資料四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和
中國文化大學,園藝暨生物技術學系,國文,--,--,英文,--,--,自然,底標,3,國英自,--,6,,,,*2.00,*1.00,*2.00,--,,35%,審查資料,--,35%,面試,--,30%,,,,,,,,,,一、學測自然級分二、學測國文級分三、學測英文級分四、面試,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、自然之級分總和　二、學測自然級分　三、學測國文級分
