college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
國立臺灣藝術大學,亞太建築空間與文物保存學士學位學程,國文,底標,--,英文,底標,--,,,,,,,,,,*2.00,*1.50,,,,25%,審查資料,--,25%,口試,--,35%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.作品集) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分
義守大學,創意商品設計學系,國文,後標,3.0,英文,--,5.0,,,,,,,,,,*2.00,*1.00,,,,20%,審查資料,--,20%,面試,--,45%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分
亞洲大學,創意商品設計學系,國文,底標,3.0,社會,底標,3.0,,,,,,,,,,*1.00,*1.00,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、J、K、L、N)、學習歷程自述(P)、其他(R.其他有利審查資料) ,一、學測國文、社會之級分總和
國立臺北藝術大學,劇場設計學系,國文,均標,5.0,英文,均標,6.0,,,,,,,,,,*1.00,*1.00,,,,40%,審查資料,--,40%,面試,75分,40%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)、其他(R.藝術或其他領域之作品) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分
銘傳大學,動漫文創設計學士學位學程（桃園校區）,國文,後標,--,英文,後標,--,社會,後標,3,國英社,--,5,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,70分,30%,,,,,,,,,,一、面試二、學測國英社級分總和三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和　二、學測社會級分
國立臺灣藝術大學,古蹟藝術修護學系,國文,後標,--,英文,底標,--,社會,均標,--,,,,,,,*1.50,*1.00,*2.00,,,25%,審查資料,--,25%,口試,--,30%,,,,,,,,,,素描,項目：修課紀錄(A)、多元表現(F、H、J、M、N)、學習歷程自述(O、P、Q)、其他(R.作品集) ,一、學測國文、英文、社會之級分總和　二、學測社會級分　三、學測國文級分　四、學測英文級分
長榮大學,台灣文化創意產業學士學位學程,國文,--,5.5,,,,,,,,,,,,,*1.00,,,,,20%,審查資料,--,20%,面試,--,60%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)、其他(R.相關活動參與資料、S.其他有助於審查之資料) ,一、學測國文級分
銘傳大學,商品設計學系（桃園校區）,國文,後標,--,英文,後標,--,社會,後標,--,國英社,--,3,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,70分,30%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、J、K、M、N)、學習歷程自述(P、Q) ,一、學測國文、英文、社會之級分總和
中原大學,商業設計學系商業設計組,國文,--,--,英文,後標,--,國英,--,3,,,,,,,*1.00,*1.00,--,,,20%,審查資料,--,20%,設計與繪畫,--,10%,面試,60分,30%,,,,,,,一、面試二、設計與繪畫三、學科能力測驗成績四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分
中原大學,商業設計學系產品設計組乙類,國文,--,--,英文,--,--,自然,均標,6,國英自,--,4,,,,*1.00,*1.00,*1.00,--,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、面試二、審查資料三、學測國英自級分總和四、學測自然級分,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、J、K、L、N)、學習歷程自述(O) ,一、學測國文、英文、自然之級分總和　二、學測自然級分
中原大學,商業設計學系產品設計組甲類,--,--,--,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,30%,,,,,,,,,,彩繪技法,項目：修課紀錄(A)、課程學習成果(C、D)、多元表現(F、J、K、L、N)、學習歷程自述(O) ,(無)
銘傳大學,商業設計學系（桃園校區）,英文,後標,3.0,社會,後標,5.0,,,,,,,,,,*2.00,*2.00,,,,40%,審查資料,--,40%,面試,70分,30%,,,,,,,,,,一、面試二、學測英文級分三、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、J、K、L、N)、學習歷程自述(O、P、Q) ,一、學測英文、社會之級分總和　二、學測英文級分　三、學測社會級分
國立政治大學,地政學系土地資源規劃組,國文,前標,4,英文,前標,3.5,數學A,前標,3.5,社會,前標,--,國英數A社,--,3,*1.00,*1.00,*1.00,--,--,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、面試二、學科能力測驗成績三、學測國文級分四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A、社會之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學A級分
