college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
國立屏東大學,不動產經營學系,國文,後標,2.0,社會,後標,2.0,,,,,,,,,,*2.00,*2.00,,,,50%,審查資料,--,50%,,,,,,,,,,,,,一、指定項目甄試成績二、學測國文級分三、學測社會級分四、學測國社級分總和,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、N)、學習歷程自述(P、Q) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分
國立臺北大學,不動產與城鄉環境學系(飛鳶組),國文,均標,--,英文,均標,6,數學B,均標,7,,,,,,,--,*1.00,*1.00,,,40%,審查資料,--,40%,,,,,,,,,,,,,一、審查資料二、學測國英數B級分總和三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分　三、學測英文級分　四、學測國文級分
國立臺北大學,不動產與城鄉環境學系乙組,英文,均標,--,數學B,均標,3,社會,前標,--,英數B社,--,2.5,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測英文、數學B、社會之級分總和　二、學測社會級分　三、學測英文級分　四、學測數學B級分
國立臺北大學,不動產與城鄉環境學系甲組,國文,前標,--,英文,均標,--,數學B,均標,3,國英數B,--,2.5,,,,*1.00,*1.00,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、審查資料四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表) ,一、學測國文、英文、數學B之級分總和　二、學測國文級分　三、學測英文級分　四、學測數學B級分
中原大學,中原大學與美國天普大學商學管理雙學士學位學程,國文,均標,5.0,英文,均標,6.0,,,,,,,,,,*1.00,*2.00,,,,30%,審查資料,--,30%,面試,--,30%,,,,,,,,,,一、面試二、學測英文級分三、審查資料四、學測國文級分,項目：修課紀錄(A)、課程學習成果(E)、多元表現(F、G、K、L、N)、學習歷程自述(O、Q)、其他(R.國際交流經驗) ,一、學測國文、英文之級分總和　二、學測英文級分
中華大學,中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程,英文,底標,12.5,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(H、J、L、M、N)、學習歷程自述(P、Q)、其他(R.其他有利於審查之資料) ,一、學測英文級分
大同大學,事業經營學系,國文,底標,--,英文,--,3,社會,--,6,,,,,,,*1.00,*2.00,*1.50,,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、面試二、學測英文級分三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、G、N)、學習歷程自述(O、P、Q)、其他(R.自提五個問題口試備問) ,一、學測國文、英文、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測社會級分
國立高雄師範大學,事業經營學系,國文,--,--,英文,均標,4.5,數學B,均標,3.5,,,,,,,*1.50,*2.00,*2.00,,,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、面試二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、I、J、M、N)、學習歷程自述(O、P、Q)、其他(R.有利審查資料) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測國文級分
國立高雄大學,亞太工商管理學系企業管理組,國文,均標,--,英文,均標,--,數學B,均標,--,社會,均標,--,國英數B社,--,4.5,*1.00,*1.50,*1.50,*1.00,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學B級分三、學科能力測驗成績四、面試,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)、其他(R.學習電腦程式的經驗) ,一、學測國文、英文、數學B、社會之級分總和
國立高雄大學,亞太工商管理學系工業管理組,國文,均標,--,英文,均標,--,數學A,均標,--,自然,均標,--,國英數A自,--,4.5,*1.00,*1.50,*1.50,*1.00,--,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測英文級分二、學測數學A級分三、學科能力測驗成績四、面試,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)、其他(R.學習電腦程式的經驗) ,一、學測國文、英文、數學A、自然之級分總和
國立成功大學,交通管理科學系,國文,均標,5.0,英文,前標,2.5,數學A,前標,3.0,自然,均標,5.0,,,,*1.00,*1.50,*1.50,*1.00,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學科能力測驗成績四、學測數學A級分,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和　二、學測英文級分　三、學測數學A級分　四、學測國文級分
淡江大學,人工智慧學系,英文,--,4,數學A,均標,--,數學B,均標,--,自然,--,4,國英自,--,3,*1.00,--,--,*1.00,--,40%,審查資料,--,40%,團體面試,--,30%,,,,,,,,,,一、學科能力測驗成績二、審查資料三、團體面試四、學測自然級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q)、其他(R.自傳) ,一、學測國文、英文、自然之級分總和　二、學測自然級分
中信金融管理學院,人工智慧學系,國文,--,3,數學A,均標,--,數學B,均標,--,,,,,,,*1.00,--,--,,,50%,審查資料,50分,50%,,,,,,,,,,,,,一、學測國文級分二、審查資料,項目：修課紀錄(A)、多元表現(G、H、J、M、N)、學習歷程自述(P、Q) ,一、學測國文之級分總和
逢甲大學,人工智慧技術與應用學士學位學程,國文,--,--,英文,後標,--,數學A,後標,3,國英數A,--,5,,,,*1.00,*1.00,*1.50,--,,40%,審查資料,--,40%,面試,--,35%,,,,,,,,,,一、學科能力測驗成績二、學測數學A級分三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學A之級分總和
真理大學,人文與資訊學系一般組,國文,--,--,社會,底標,7,,,,,,,,,,*2.00,*2.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測社會級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(M、N) ,一、學測國文、社會之級分總和　二、學測社會級分　三、學測國文級分
真理大學,人文與資訊學系數位應用組,國文,底標,7,社會,--,--,,,,,,,,,,*2.00,*2.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(M、N) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分
真理大學,人文與資訊學系文化行銷組,國文,底標,7.0,社會,底標,7.0,,,,,,,,,,*2.00,*2.00,,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B)、多元表現(M、N) ,一、學測國文、社會之級分總和　二、學測國文級分　三、學測社會級分
國立臺灣師範大學,企業管理學系,國文,均標,5.0,英文,均標,3.0,數學B,前標,4.0,,,,,,,*1.00,*1.00,*1.00,,,50%,審查資料,--,50%,口試,--,30%,,,,,,,,,,一、學測國英數B級分總和二、學測英文級分三、學測數學B級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、J、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學B之級分總和　二、學測英文級分　三、學測數學B級分　四、學測國文級分
