id,學類名,學群,跨學群
1,資訊工程,資訊學群,工程學群
2,生物資訊,資訊學群,生命科學學群
3,資訊傳播,資訊學群,大眾傳播學群
4,媒體設計,資訊學群,建築設計學群
5,圖書資訊,資訊學群,文史哲學群
6,數位學習,資訊學群,教育學群
7,資訊管理,資訊學群,管理學群
9,電機工程,資訊學群,工程學群
10,光電工程,資訊學群,工程學群
11,電子工程,資訊學群,工程學群
12,通訊工程,資訊學群,工程學群
13,工程科學,工程學群,地球環境學群
14,機械工程,工程學群,
15,航空工程,工程學群,
16,土木工程,工程學群,
17,水利工程,工程學群,地球環境學群
18,化學工程,工程學群,
19,材料工程,工程學群,
20,生醫工程,工程學群,生命科學學群
21,環境工程,工程學群,地球環境學群
22,建築,工程學群,建築設計學群
23,科技教育,工程學群,教育學群
24,工業管理,工程學群,管理學群
25,數學,數理化學群,
26,化學,數理化學群,
27,物理,數理化學群,
28,自然科學,數理化學群,
29,生化,數理化學群,生命科學學群
30,數學教育,數理化學群,教育學群
31,財金統計,數理化學群,財經學群
32,醫學,醫藥衛生學群,
33,公共衛生,醫藥衛生學群,
34,牙醫,醫藥衛生學群,
35,物理治療,醫藥衛生學群,
36,職能治療,醫藥衛生學群,
37,護理,醫藥衛生學群,
38,醫學檢驗,醫藥衛生學群,
39,影像放射,醫藥衛生學群,
40,藥學,醫藥衛生學群,
41,食品營養,醫藥衛生學群,
42,呼吸治療,醫藥衛生學群,
43,健康照護,醫藥衛生學群,
44,化妝品,醫藥衛生學群,
45,職業安全,醫藥衛生學群,
46,獸醫,醫藥衛生學群,生物資源學群
47,醫務管理,醫藥衛生學群,管理學群
48,運動保健,醫藥衛生學群,遊憩運動學群
49,生命科學,生命科學學群,
50,生物科技,生命科學學群,
51,植物保護,生命科學學群,生物資源學群
52,生態,生命科學學群,生物資源學群
53,農藝,生物資源學群,
54,動物科學,生物資源學群,
55,園藝,生物資源學群,
56,森林,生物資源學群,
57,海洋資源,生物資源學群,
58,食品生技,生命科學學群,生物資源學群
59,地球科學,地球環境學群,
60,地理,地球環境學群,
61,海洋科學,地球環境學群,
62,大氣科學,地球環境學群,
63,防災,地球環境學群,
64,都市計畫,建築設計學群,
65,空間設計,建築設計學群,
66,工業設計,建築設計學群,藝術學群
67,工藝,建築設計學群,藝術學群
68,商業設計,建築設計學群,藝術學群
69,服裝設計,建築設計學群,藝術學群
70,美術,藝術學群,
71,音樂,藝術學群,
72,表演藝術,藝術學群,
73,藝術設計,建築設計學群,藝術學群
74,心理,社會心理學群,
75,社會學,社會心理學群,
76,社會工作,社會心理學群,
77,人類民族,社會心理學群,
78,兒童家庭,社會心理學群,
79,宗教,社會心理學群,文史哲學群
80,文化產業,文史哲學群,管理學群
81,輔導諮商,社會心理學群,
82,犯罪防治,社會心理學群,法政學群
83,勞工關係,社會心理學群,管理學群
84,大眾傳播,大眾傳播學群,
85,廣電電影,大眾傳播學群,
86,新聞,大眾傳播學群,
87,廣告公關,大眾傳播學群,
88,英語文,外語學群,
89,歐語文,外語學群,
90,日語文,外語學群,
91,東方語文,外語學群,
92,英語教育,外語學群,教育學群
93,中國語文,文史哲學群,
94,歷史,文史哲學群,
95,哲學,文史哲學群,
96,台灣語文,文史哲學群,
97,史地,文史哲學群,地球環境學群
98,華語文教育,文史哲學群,教育學群
99,教育,教育學群,
100,特殊教育,教育學群,
101,幼兒教育,教育學群,
102,成人教育,教育學群,
103,社科教育,教育學群,
104,法律,法政學群,
105,財經法律,法政學群,
106,政治,法政學群,
107,行政管理,法政學群,管理學群
108,企業管理,管理學群,
109,行銷經營,管理學群,
110,運輸物流,工程學群,管理學群
111,土地資產,法政學群,管理學群
112,會計,財經學群,
113,財務金融,財經學群,
114,國際企業,管理學群,財經學群
115,財稅,財經學群,
116,保險,財經學群,
117,經濟,財經學群,
118,體育,遊憩運動學群,
119,舞蹈,藝術學群,遊憩運動學群
120,觀光事業,管理學群,遊憩運動學群
121,運動管理,管理學群,遊憩運動學群
122,餐旅管理,管理學群,遊憩運動學群
123,休閒管理,管理學群,遊憩運動學群
125,視光,醫藥衛生學群,
126,語療聽力,醫藥衛生學群,
132,數據統計,資訊學群,數理化學群
